incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
FRONIUS-c79e1935-cfe2-4d86-b2ef--001,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-05-05,2024-05-06,2,97,high,0.176045,0.0,0.0,176.907958,189.143109,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 2 day(s), with expected daily energy between 176.9 and 189.1 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--002,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-05-08,2024-05-14,7,100,high,0.176045,0.0,0.0,74.968906,234.318103,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 7 day(s), with expected daily energy between 75.0 and 234.3 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--003,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-05-16,2024-06-07,23,100,high,0.176045,0.0,0.0,62.351737,240.060702,0.0,0.44,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 23 day(s), with expected daily energy between 62.4 and 240.1 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--004,G and C farms north meter,Symo 24.0-3 480 (6),offline_or_near_zero,2024-06-13,2024-06-26,14,100,high,0.141269,0.0,0.0,74.546464,190.797075,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 14 day(s), with expected daily energy between 74.5 and 190.8 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--005,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-06-20,2024-06-26,7,100,high,0.176045,0.0,0.0,153.562586,199.561472,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 7 day(s), with expected daily energy between 153.6 and 199.6 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--006,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-06-30,2024-07-03,4,100,high,0.176045,0.0,0.0,108.706235,206.497658,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 4 day(s), with expected daily energy between 108.7 and 206.5 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--007,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-07-07,2024-07-20,14,100,high,0.176045,0.0,0.0,155.456834,236.826749,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 14 day(s), with expected daily energy between 155.5 and 236.8 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--008,G and C farms north meter,Symo 24.0-3 480 (6),offline_or_near_zero,2024-07-14,2024-07-14,1,95,high,0.141269,0.0,0.0,141.573156,141.573156,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 141.6 and 141.6 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--009,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-07-24,2024-08-26,34,100,high,0.176045,0.0,0.0,121.11391,232.20908,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 34 day(s), with expected daily energy between 121.1 and 232.2 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
FRONIUS-c79e1935-cfe2-4d86-b2ef--010,G and C farms north meter,Symo 24.0-3 480 (5),offline_or_near_zero,2024-09-05,2024-09-11,7,100,high,0.176045,0.0,0.0,130.606274,216.236486,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 7 day(s), with expected daily energy between 130.6 and 216.2 kWh.",fronius_G_and_C_farms_north_meter__c79e1935-cfe2-4d86-b2ef-cbcf33b7e6d4.csv
