site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo  24.0-3 480 (1)__rated_kw,Symo  24.0-3 480 (1)__daily_energy_kwh,Symo  24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (3)__rated_kw,Symo  24.0-3 480 (3)__daily_energy_kwh,Symo  24.0-3 480 (3)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (3)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (7)__rated_kw,Symo  24.0-3 480 (7)__daily_energy_kwh,Symo  24.0-3 480 (7)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (7)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (4)__rated_kw,Symo 24.0-3 480 (4)__daily_energy_kwh,Symo 24.0-3 480 (4)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (4)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (5)__rated_kw,Symo 24.0-3 480 (5)__daily_energy_kwh,Symo 24.0-3 480 (5)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (5)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (6)__rated_kw,Symo 24.0-3 480 (6)__daily_energy_kwh,Symo 24.0-3 480 (6)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (6)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2)__rated_kw,Symo Advanced 24.0-3 480 (2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2)__relative_specific_yield_vs_site_avg
G and C farms north meter,2024-04-25,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms north meter,2024-04-26,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms north meter,2024-04-27,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms north meter,2024-04-28,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms north meter,2024-04-29,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms north meter,2024-04-30,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms north meter,2024-05-01,Normal,748.76,,,,24.0,107.23,4.467917,1.002471,24.0,105.62,4.400833,0.987419,24.0,109.5,4.5625,1.023693,24.0,109.26,4.5525,1.021449,24.0,106.36,4.431667,0.994337,24.0,104.57,4.357083,0.977603,24.0,106.22,4.425833,0.993028
G and C farms north meter,2024-05-02,Normal,740.52,,,,24.0,107.81,4.492083,1.019108,24.0,105.12,4.38,0.99368,24.0,108.92,4.538333,1.029601,24.0,107.78,4.490833,1.018825,24.0,106.59,4.44125,1.007576,24.0,100.92,4.205,0.953978,24.0,103.38,4.3075,0.977232
G and C farms north meter,2024-05-03,Normal,1174.87,,,,24.0,168.83,7.034583,1.005907,24.0,165.82,6.909167,0.987973,24.0,169.19,7.049583,1.008052,24.0,170.92,7.121667,1.018359,24.0,168.09,7.00375,1.001498,24.0,164.96,6.873333,0.982849,24.0,167.06,6.960833,0.995361
G and C farms north meter,2024-05-04,Normal,1549.35,,,,24.0,223.49,9.312083,1.009733,24.0,219.08,9.128333,0.989809,24.0,221.78,9.240833,1.002007,24.0,224.17,9.340417,1.012805,24.0,223.09,9.295417,1.007926,24.0,218.39,9.099583,0.986691,24.0,219.35,9.139583,0.991028
