incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
FRONIUS-e5d4623c-5a06-4b45-b2f0--001,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),sustained_underperformance,2024-11-30,2024-12-02,3,42,low,0.142063,0.695235,0.664343,31.687134,66.29224,22.03,46.85,6,"Sustained underperformance: actual output was typically 69.5% of expected for 3 day(s), bottoming at 66.4%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--002,G and C farms south meter,Symo Advanced 24.0-3 480 (5),sustained_underperformance,2024-11-30,2024-12-02,3,44,low,0.141332,0.628089,0.564996,31.5242,65.951368,19.02,44.07,6,"Sustained underperformance: actual output was typically 62.8% of expected for 3 day(s), bottoming at 56.5%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--003,G and C farms south meter,Symo Advanced 24.0-3 480 (6),sustained_underperformance,2025-01-17,2025-01-19,3,45,low,0.142561,0.587738,0.579537,33.41627,60.565565,19.64,35.1,6,"Sustained underperformance: actual output was typically 58.8% of expected for 3 day(s), bottoming at 58.0%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--004,G and C farms south meter,Symo Advanced 24.0-3 480 (5),sustained_underperformance,2025-01-18,2025-01-20,3,50,low,0.141332,0.745624,0.678083,51.141142,82.969207,40.24,56.26,6,"Sustained underperformance: actual output was typically 74.6% of expected for 3 day(s), bottoming at 67.8%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--005,G and C farms south meter,Symo Advanced 24.0-3 480 (5),sustained_underperformance,2025-02-21,2025-02-23,3,57,low,0.141332,0.623964,0.353919,108.386432,139.158744,38.36,96.71,6,"Sustained underperformance: actual output was typically 62.4% of expected for 3 day(s), bottoming at 35.4%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--006,G and C farms south meter,ALL_INVERTERS,site_missing_data,2025-02-24,2025-03-07,12,100,high,1.0,0.0,0.0,417.21,890.66,0.0,0.0,7,"Missing site data: no rows were present for 12 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 417.2 and 890.7 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--007,G and C farms south meter,Symo Advanced 24.0-3 480 (5),sustained_underperformance,2025-03-12,2025-03-18,7,80,medium,0.141332,0.657889,0.463172,57.7979,142.833387,29.76,110.31,6,"Sustained underperformance: actual output was typically 65.8% of expected for 7 day(s), bottoming at 46.3%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--008,G and C farms south meter,Symo Advanced 24.0-3 480 (5),sustained_underperformance,2025-03-22,2025-03-25,4,71,medium,0.141332,0.764461,0.737694,109.313573,150.849763,80.64,111.39,6,"Sustained underperformance: actual output was typically 76.4% of expected for 4 day(s), bottoming at 73.8%, while peers remained active.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--009,G and C farms south meter,ALL_INVERTERS,site_missing_data,2025-09-01,2025-09-07,7,100,high,1.0,0.0,0.0,1262.475,1431.95,0.0,0.0,7,"Missing site data: no rows were present for 7 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 1262.5 and 1432.0 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--010,G and C farms south meter,ALL_INVERTERS,site_missing_data,2025-09-15,2025-09-21,7,100,high,1.0,0.0,0.0,1141.41,1344.37,0.0,0.0,7,"Missing site data: no rows were present for 7 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 1141.4 and 1344.4 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--011,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2025-09-23,2025-09-23,1,95,high,0.142063,0.006506,0.006506,164.457716,164.457716,1.07,1.07,6,"Likely outage/near-zero production: actual output was 0.7% of expected for 1 day(s), with expected daily energy between 164.5 and 164.5 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--012,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2025-09-25,2025-11-13,50,100,high,0.142063,0.0,0.0,33.842228,162.152035,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 50 day(s), with expected daily energy between 33.8 and 162.2 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--013,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2025-11-15,2025-11-17,3,96,high,0.142063,0.0,0.0,65.878837,84.028795,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 65.9 and 84.0 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--014,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2025-11-19,2025-11-23,5,98,high,0.142063,0.0,0.0,37.471936,118.795853,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 5 day(s), with expected daily energy between 37.5 and 118.8 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--015,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2025-11-25,2025-11-27,3,95,high,0.142063,0.0,0.0,52.557597,78.942943,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 52.6 and 78.9 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--016,G and C farms south meter,ALL_INVERTERS,site_missing_data,2025-11-28,2025-12-04,7,100,high,1.0,0.0,0.0,369.96,462.825,0.0,0.0,7,"Missing site data: no rows were present for 7 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 370.0 and 462.8 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--017,G and C farms south meter,ALL_INVERTERS,site_missing_data,2025-12-31,2026-01-03,4,100,high,1.0,0.0,0.0,217.1,315.285,0.0,0.0,7,"Missing site data: no rows were present for 4 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 217.1 and 315.3 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--018,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2026-01-06,2026-01-11,6,97,high,0.142063,0.0,0.0,36.054148,101.879001,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 6 day(s), with expected daily energy between 36.1 and 101.9 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--019,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2026-01-13,2026-01-19,7,97,high,0.142063,0.0,0.0,60.202003,111.96973,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 7 day(s), with expected daily energy between 60.2 and 112.0 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--020,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2026-01-21,2026-01-23,3,97,high,0.142063,0.0,0.0,56.579398,108.932425,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 56.6 and 108.9 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
FRONIUS-e5d4623c-5a06-4b45-b2f0--021,G and C farms south meter,Symo  Advanced 24.0-3 480 (4),offline_or_near_zero,2026-01-25,2026-04-14,80,100,high,0.142063,0.0,0.0,30.208259,178.21793,0.0,0.0,6,"Likely outage/near-zero production: actual output was 0.0% of expected for 80 day(s), with expected daily energy between 30.2 and 178.2 kWh.",fronius_G_and_C_farms_south_meter__e5d4623c-5a06-4b45-b2f0-fea3ad9136f1.csv
