site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  Advanced 24.0-3 480 (4) (2344E5)__rated_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__daily_energy_kwh,Symo  Advanced 24.0-3 480 (4) (2344E5)__specific_yield_kwh_per_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (1) (ECDEE1)__rated_kw,Symo 24.0-3 480 (1) (ECDEE1)__daily_energy_kwh,Symo 24.0-3 480 (1) (ECDEE1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (ECDEE1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2) (2344D2)__rated_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2) (2344D2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (3) (2344DB)__rated_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__daily_energy_kwh,Symo Advanced 24.0-3 480 (3) (2344DB)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (5) (2344EE)__rated_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__daily_energy_kwh,Symo Advanced 24.0-3 480 (5) (2344EE)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (6) (D2487C)__rated_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__daily_energy_kwh,Symo Advanced 24.0-3 480 (6) (D2487C)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (7) (D3E7E7)__rated_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__daily_energy_kwh,Symo Advanced 24.0-3 480 (7) (D3E7E7)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__relative_specific_yield_vs_site_avg
G and C farms south meter,2022-06-22,Normal,1544.65,,,24.0,219.21,9.13375,0.99341,24.0,220.37,9.182083,0.998666,24.0,222.78,9.2825,1.009588,24.0,221.62,9.234167,1.004331,24.0,221.68,9.236667,1.004603,24.0,219.51,9.14625,0.994769,24.0,219.48,9.145,0.994633
G and C farms south meter,2022-06-23,Normal,1509.03,,,24.0,214.3,8.929167,0.994082,24.0,215.2,8.966667,0.998257,24.0,217.36,9.056667,1.008277,24.0,216.85,9.035417,1.005911,24.0,216.34,9.014167,1.003545,24.0,214.49,8.937083,0.994964,24.0,214.49,8.937083,0.994964
G and C farms south meter,2022-06-24,Normal,650.46,,,24.0,91.96,3.831667,0.989638,24.0,94.01,3.917083,1.011699,24.0,92.71,3.862917,0.997709,24.0,95.34,3.9725,1.026012,24.0,91.95,3.83125,0.98953,24.0,92.19,3.84125,0.992113,24.0,92.3,3.845833,0.993297
G and C farms south meter,2022-06-25,Normal,1438.76,,,24.0,204.49,8.520417,0.994905,24.0,205.18,8.549167,0.998262,24.0,206.77,8.615417,1.005998,24.0,207.8,8.658333,1.011009,24.0,205.44,8.56,0.999527,24.0,204.75,8.53125,0.99617,24.0,204.33,8.51375,0.994127
G and C farms south meter,2022-06-26,Normal,1597.42,,,24.0,226.66,9.444167,0.993239,24.0,227.46,9.4775,0.996745,24.0,230.41,9.600417,1.009672,24.0,228.48,9.52,1.001214,24.0,229.86,9.5775,1.007262,24.0,227.26,9.469167,0.995868,24.0,227.29,9.470417,0.996
G and C farms south meter,2022-06-27,Normal,1593.66,,,24.0,225.97,9.415417,0.992552,24.0,227.39,9.474583,0.998789,24.0,230.03,9.584583,1.010385,24.0,227.87,9.494583,1.000897,24.0,229.29,9.55375,1.007135,24.0,226.56,9.44,0.995143,24.0,226.55,9.439583,0.995099
G and C farms south meter,2022-06-28,Normal,1501.58,,,24.0,212.64,8.86,0.991276,24.0,214.76,8.948333,1.001159,24.0,216.66,9.0275,1.010016,24.0,215.07,8.96125,1.002604,24.0,215.85,8.99375,1.00624,24.0,213.16,8.881667,0.9937,24.0,213.44,8.893333,0.995005
G and C farms south meter,2022-06-29,Normal,1446.33,,,24.0,204.7,8.529167,0.990714,24.0,207.11,8.629583,1.002378,24.0,208.61,8.692083,1.009638,24.0,207.53,8.647083,1.004411,24.0,207.51,8.64625,1.004314,24.0,205.18,8.549167,0.993038,24.0,205.69,8.570417,0.995506
G and C farms south meter,2022-06-30,Normal,1345.02,,,24.0,191.18,7.965833,0.994974,24.0,191.78,7.990833,0.998097,24.0,193.8,8.075,1.00861,24.0,193.76,8.073333,1.008401,24.0,192.61,8.025417,1.002416,24.0,191.2,7.966667,0.995078,24.0,190.69,7.945417,0.992424
G and C farms south meter,2022-07-01,Normal,1370.19,,,24.0,223.18,9.299167,1.140178,24.0,224.68,9.361667,1.147841,24.0,227.15,9.464583,1.160459,24.0,21.62,0.900833,0.110452,24.0,226.18,9.424167,1.155504,24.0,223.74,9.3225,1.143039,24.0,223.64,9.318333,1.142528
