incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
FRONIUS-35d57c96-ce57-4d21-8268--001,NE19-8-11,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2024-05-10,2024-05-13,4,100,high,0.19324,0.0,0.0,63.148778,145.826352,0.0,2.55,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 4 day(s), with expected daily energy between 63.1 and 145.8 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--002,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-05-13,2024-05-13,1,87,high,0.195284,0.041525,0.041525,63.816895,63.816895,2.65,2.65,4,"Likely outage/near-zero production: actual output was 4.2% of expected for 1 day(s), with expected daily energy between 63.8 and 63.8 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--003,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-05-29,2024-06-11,14,100,high,0.195284,0.0,0.0,85.909387,155.942175,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 14 day(s), with expected daily energy between 85.9 and 155.9 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--004,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-06-13,2024-07-28,46,100,high,0.195284,0.0,0.0,40.220716,155.143463,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 46 day(s), with expected daily energy between 40.2 and 155.1 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--005,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-07-31,2024-08-14,15,100,high,0.195284,0.0,0.0,58.384091,144.973066,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 15 day(s), with expected daily energy between 58.4 and 145.0 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--006,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-08-16,2024-08-18,3,99,high,0.195284,0.0,0.0,73.245212,134.956944,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 73.2 and 135.0 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--007,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-08-20,2024-09-11,23,99,high,0.195284,0.0,0.0,43.263242,139.450432,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 23 day(s), with expected daily energy between 43.3 and 139.5 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--008,NE19-8-11,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2024-09-09,2024-09-11,3,95,high,0.19324,0.0,0.0,42.810307,81.137455,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 42.8 and 81.1 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--009,NE19-8-11,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2024-09-13,2024-09-17,5,96,high,0.19324,0.0,0.0,64.12657,86.868942,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 5 day(s), with expected daily energy between 64.1 and 86.9 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--010,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-09-13,2024-09-17,5,96,high,0.195284,0.0,0.0,64.805033,87.78802,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 5 day(s), with expected daily energy between 64.8 and 87.8 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--011,NE19-8-11,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2024-09-19,2024-09-19,1,88,high,0.19324,0.0,0.0,75.734475,75.734475,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 75.7 and 75.7 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--012,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-09-19,2024-09-19,1,88,high,0.195284,0.0,0.0,76.535749,76.535749,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 76.5 and 76.5 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--013,NE19-8-11,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2024-09-21,2024-10-16,26,97,high,0.19324,0.0,0.0,21.793565,98.127083,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 26 day(s), with expected daily energy between 21.8 and 98.1 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--014,NE19-8-11,Symo Advanced 24.0-3 480 (4),offline_or_near_zero,2024-09-21,2024-10-16,26,97,high,0.195284,0.0,0.0,22.024142,99.165272,0.0,0.0,4,"Likely outage/near-zero production: actual output was 0.0% of expected for 26 day(s), with expected daily energy between 22.0 and 99.2 kWh.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--015,NE19-8-11,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2024-11-26,2024-11-28,3,40,low,0.19324,0.612535,0.599709,23.557843,48.773682,14.43,29.25,4,"Sustained underperformance: actual output was typically 61.3% of expected for 3 day(s), bottoming at 60.0%, while peers remained active.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--016,NE19-8-11,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2024-11-30,2024-12-02,3,51,low,0.19324,0.585214,0.579997,33.335768,81.69012,20.35,47.38,4,"Sustained underperformance: actual output was typically 58.5% of expected for 3 day(s), bottoming at 58.0%, while peers remained active.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--017,NE19-8-11,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2025-01-17,2025-01-20,4,51,low,0.19324,0.550193,0.510702,24.516311,71.912195,15.72,37.63,4,"Sustained underperformance: actual output was typically 55.0% of expected for 4 day(s), bottoming at 51.1%, while peers remained active.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--018,NE19-8-11,Symo Advanced 24.0-3 480 (2),sustained_underperformance,2025-01-17,2025-01-22,6,52,low,0.21164,0.662019,0.485547,26.850755,78.759674,18.95,41.46,4,"Sustained underperformance: actual output was typically 66.2% of expected for 6 day(s), bottoming at 48.6%, while peers remained active.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
FRONIUS-35d57c96-ce57-4d21-8268--019,NE19-8-11,Symo Advanced 24.0-3 480 (3),sustained_underperformance,2025-01-18,2025-01-22,5,47,low,0.194807,0.733021,0.481013,25.843129,72.495568,18.83,53.4,4,"Sustained underperformance: actual output was typically 73.3% of expected for 5 day(s), bottoming at 48.1%, while peers remained active.",fronius_NE19-8-11__35d57c96-ce57-4d21-8268-a171098cd93d.csv
