site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo Advanced 15.0-3 480 (1)__rated_kw,Symo Advanced 15.0-3 480 (1)__daily_energy_kwh,Symo Advanced 15.0-3 480 (1)__specific_yield_kwh_per_kw,Symo Advanced 15.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo Advanced 15.0-3 480 (2)__rated_kw,Symo Advanced 15.0-3 480 (2)__daily_energy_kwh,Symo Advanced 15.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 15.0-3 480 (2)__relative_specific_yield_vs_site_avg
NW11-9-12-w4,2024-07-01,Normal,146.92,,,,15.0,86.1,5.74,1.172066,15.0,60.82,4.054667,0.827934
NW11-9-12-w4,2024-07-02,Normal,227.0,,,,15.0,129.27,8.618,1.138943,15.0,97.73,6.515333,0.861057
NW11-9-12-w4,2024-07-03,Normal,197.73,,,,15.0,114.14,7.609333,1.154504,15.0,83.59,5.572667,0.845496
NW11-9-12-w4,2024-07-04,Normal,218.03,,,,15.0,122.33,8.155333,1.122139,15.0,95.7,6.38,0.877861
NW11-9-12-w4,2024-07-05,Normal,266.86,,,,15.0,147.95,9.863333,1.108821,15.0,118.91,7.927333,0.891179
NW11-9-12-w4,2024-07-06,Normal,229.09,,,,15.0,127.01,8.467333,1.108822,15.0,102.08,6.805333,0.891178
NW11-9-12-w4,2024-07-07,Normal,271.43,,,,15.0,151.77,10.118,1.118299,15.0,119.66,7.977333,0.881701
NW11-9-12-w4,2024-07-08,Normal,270.06,,,,15.0,151.52,10.101333,1.122121,15.0,118.54,7.902667,0.877879
NW11-9-12-w4,2024-07-09,Normal,268.45,,,,15.0,151.27,10.084667,1.126988,15.0,117.18,7.812,0.873012
NW11-9-12-w4,2024-07-10,Normal,267.3,,,,15.0,150.2,10.013333,1.123831,15.0,117.1,7.806667,0.876169
NW11-9-12-w4,2024-07-11,offline_or_near_zero,117.59,FRONIUS-786a60d9-1c64-47c8-8cc5--001,Symo Advanced 15.0-3 480 (1),,15.0,0.0,0.0,0.0,15.0,117.59,7.839333,2.0
NW11-9-12-w4,2024-07-12,offline_or_near_zero,116.16,FRONIUS-786a60d9-1c64-47c8-8cc5--001,Symo Advanced 15.0-3 480 (1),,15.0,0.0,0.0,0.0,15.0,116.16,7.744,2.0
NW11-9-12-w4,2024-07-13,offline_or_near_zero,112.44,FRONIUS-786a60d9-1c64-47c8-8cc5--001,Symo Advanced 15.0-3 480 (1),,15.0,0.0,0.0,0.0,15.0,112.44,7.496,2.0
NW11-9-12-w4,2024-07-14,offline_or_near_zero,116.17,FRONIUS-786a60d9-1c64-47c8-8cc5--001,Symo Advanced 15.0-3 480 (1),,15.0,0.0,0.0,0.0,15.0,116.17,7.744667,2.0
NW11-9-12-w4,2024-07-15,offline_or_near_zero,113.66,FRONIUS-786a60d9-1c64-47c8-8cc5--001,Symo Advanced 15.0-3 480 (1),,15.0,0.0,0.0,0.0,15.0,113.66,7.577333,2.0
NW11-9-12-w4,2024-07-16,Normal,139.68,,,,15.0,26.41,1.760667,0.37815,15.0,113.27,7.551333,1.62185
NW11-9-12-w4,2024-07-17,Normal,265.59,,,,15.0,149.48,9.965333,1.125645,15.0,116.11,7.740667,0.874355
NW11-9-12-w4,2024-07-18,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-19,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-20,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-21,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-22,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-23,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-24,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
NW11-9-12-w4,2024-07-25,Normal,,,,,15.0,0.0,0.0,,15.0,0.0,0.0,
