site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  24.0-3 480 (1) (115C8E)__rated_kw,Symo  24.0-3 480 (1) (115C8E)__daily_energy_kwh,Symo  24.0-3 480 (1) (115C8E)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1) (115C8E)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (2) (115C98)__rated_kw,Symo  24.0-3 480 (2) (115C98)__daily_energy_kwh,Symo  24.0-3 480 (2) (115C98)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (2) (115C98)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (3) (115CA1)__rated_kw,Symo 24.0-3 480 (3) (115CA1)__daily_energy_kwh,Symo 24.0-3 480 (3) (115CA1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (3) (115CA1)__relative_specific_yield_vs_site_avg
Penner Farms - 32-8-13 pump (site 1),2023-10-19,Normal,425.15,,,24.0,136.88,5.703333,0.965871,24.0,142.34,5.930833,1.004398,24.0,145.93,6.080417,1.029731
Penner Farms - 32-8-13 pump (site 1),2023-10-20,Normal,194.21,,,24.0,65.14,2.714167,1.00623,24.0,63.15,2.63125,0.97549,24.0,65.92,2.746667,1.018279
Penner Farms - 32-8-13 pump (site 1),2023-10-21,Normal,107.44,,,24.0,35.9,1.495833,1.00242,24.0,34.99,1.457917,0.97701,24.0,36.55,1.522917,1.02057
Penner Farms - 32-8-13 pump (site 1),2023-10-22,Normal,48.03,,,24.0,15.97,0.665417,0.997502,24.0,15.81,0.65875,0.987508,24.0,16.25,0.677083,1.014991
Penner Farms - 32-8-13 pump (site 1),2023-10-23,Normal,35.87,,,24.0,11.94,0.4975,0.998606,24.0,11.77,0.490417,0.984388,24.0,12.16,0.506667,1.017006
Penner Farms - 32-8-13 pump (site 1),2023-10-24,Normal,41.28,,,24.0,15.19,0.632917,1.103924,24.0,10.94,0.455833,0.795058,24.0,15.15,0.63125,1.101017
Penner Farms - 32-8-13 pump (site 1),2023-10-25,Normal,46.19,,,24.0,16.75,0.697917,1.087898,24.0,12.69,0.52875,0.824204,24.0,16.75,0.697917,1.087898
Penner Farms - 32-8-13 pump (site 1),2023-10-26,Normal,50.18,,,24.0,18.43,0.767917,1.101833,24.0,13.51,0.562917,0.807692,24.0,18.24,0.76,1.090474
Penner Farms - 32-8-13 pump (site 1),2023-10-27,Normal,107.15,,,24.0,42.89,1.787083,1.20084,24.0,27.67,1.152917,0.774708,24.0,36.59,1.524583,1.024452
Penner Farms - 32-8-13 pump (site 1),2023-10-28,Normal,201.73,,,24.0,71.69,2.987083,1.066128,24.0,56.07,2.33625,0.833837,24.0,73.97,3.082083,1.100035
Penner Farms - 32-8-13 pump (site 1),2023-10-29,sustained_underperformance,379.18,FRONIUS-c3c803c9-49a6-4c83-9884--G001,Symo  24.0-3 480 (1) (115C8E),24.0,80.64,3.36,0.638008,24.0,141.46,5.894167,1.119205,24.0,157.08,6.545,1.242787
Penner Farms - 32-8-13 pump (site 1),2023-10-30,sustained_underperformance,290.33,FRONIUS-c3c803c9-49a6-4c83-9884--G001,Symo  24.0-3 480 (1) (115C8E),24.0,45.08,1.878333,0.465815,24.0,118.45,4.935417,1.223952,24.0,126.8,5.283333,1.310233
Penner Farms - 32-8-13 pump (site 1),2023-10-31,sustained_underperformance,313.89,FRONIUS-c3c803c9-49a6-4c83-9884--G001,Symo  24.0-3 480 (1) (115C8E),24.0,55.92,2.33,0.534455,24.0,125.17,5.215417,1.196311,24.0,132.8,5.533333,1.269234
Penner Farms - 32-8-13 pump (site 1),2023-11-01,sustained_underperformance,262.04,FRONIUS-c3c803c9-49a6-4c83-9884--G001,Symo  24.0-3 480 (1) (115C8E),24.0,42.53,1.772083,0.48691,24.0,106.7,4.445833,1.221569,24.0,112.81,4.700417,1.29152
Penner Farms - 32-8-13 pump (site 1),2023-11-02,Normal,59.87,,,24.0,19.88,0.828333,0.996158,24.0,19.69,0.820417,0.986638,24.0,20.3,0.845833,1.017204
Penner Farms - 32-8-13 pump (site 1),2023-11-03,Normal,326.44,,,24.0,69.49,2.895417,0.638617,24.0,125.55,5.23125,1.153811,24.0,131.4,5.475,1.207573
Penner Farms - 32-8-13 pump (site 1),2023-11-04,Normal,34.88,,,24.0,11.63,0.484583,1.000287,24.0,11.35,0.472917,0.976204,24.0,11.9,0.495833,1.023509
Penner Farms - 32-8-13 pump (site 1),2023-11-05,Normal,166.68,,,24.0,55.76,2.323333,1.0036,24.0,54.23,2.259583,0.976062,24.0,56.69,2.362083,1.020338
Penner Farms - 32-8-13 pump (site 1),2023-11-06,Normal,226.7,,,24.0,46.24,1.926667,0.61191,24.0,87.66,3.6525,1.160035,24.0,92.8,3.866667,1.228055
Penner Farms - 32-8-13 pump (site 1),,Marker - 62 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - 32-8-13 pump (site 1),2024-01-08,Normal,162.64,,,24.0,56.91,2.37125,1.049742,24.0,42.46,1.769167,0.783202,24.0,63.27,2.63625,1.167056
Penner Farms - 32-8-13 pump (site 1),2024-01-09,Normal,164.37,,,24.0,55.27,2.302917,1.008761,24.0,51.46,2.144167,0.939222,24.0,57.64,2.401667,1.052017
Penner Farms - 32-8-13 pump (site 1),2024-01-10,Normal,24.18,,,24.0,8.1,0.3375,1.004963,24.0,6.61,0.275417,0.820099,24.0,9.47,0.394583,1.174938
Penner Farms - 32-8-13 pump (site 1),2024-01-11,Normal,22.78,,,24.0,7.79,0.324583,1.0259,24.0,5.87,0.244583,0.773047,24.0,9.12,0.38,1.201054
Penner Farms - 32-8-13 pump (site 1),2024-01-12,Normal,71.18,,,24.0,23.94,0.9975,1.008991,24.0,12.48,0.52,0.52599,24.0,34.76,1.448333,1.465018
Penner Farms - 32-8-13 pump (site 1),2024-01-13,sustained_underperformance,95.25,FRONIUS-c3c803c9-49a6-4c83-9884--G002,Symo  24.0-3 480 (2) (115C98),24.0,33.62,1.400833,1.058898,24.0,16.78,0.699167,0.528504,24.0,44.85,1.86875,1.412598
Penner Farms - 32-8-13 pump (site 1),2024-01-14,sustained_underperformance,99.18,FRONIUS-c3c803c9-49a6-4c83-9884--G002,Symo  24.0-3 480 (2) (115C98),24.0,32.97,1.37375,0.997278,24.0,16.0,0.666667,0.483969,24.0,50.21,2.092083,1.518754
Penner Farms - 32-8-13 pump (site 1),2024-01-15,sustained_underperformance,131.01,FRONIUS-c3c803c9-49a6-4c83-9884--G002,Symo  24.0-3 480 (2) (115C98),24.0,47.01,1.95875,1.076483,24.0,18.93,0.78875,0.433478,24.0,65.07,2.71125,1.490039
Penner Farms - 32-8-13 pump (site 1),2024-01-16,sustained_underperformance,100.89,FRONIUS-c3c803c9-49a6-4c83-9884--G002,Symo  24.0-3 480 (2) (115C98),24.0,35.47,1.477917,1.054713,24.0,14.83,0.617917,0.440975,24.0,50.59,2.107917,1.504312
Penner Farms - 32-8-13 pump (site 1),2024-01-17,Normal,22.63,,,24.0,8.06,0.335833,1.068493,24.0,6.6,0.275,0.874945,24.0,7.97,0.332083,1.056562
Penner Farms - 32-8-13 pump (site 1),2024-01-18,Normal,39.66,,,24.0,13.65,0.56875,1.032526,24.0,11.33,0.472083,0.857035,24.0,14.68,0.611667,1.110439
Penner Farms - 32-8-13 pump (site 1),2024-01-19,Normal,37.63,,,24.0,13.06,0.544167,1.041191,24.0,10.93,0.455417,0.871379,24.0,13.64,0.568333,1.08743
Penner Farms - 32-8-13 pump (site 1),2024-01-20,Normal,43.28,,,24.0,14.17,0.590417,0.982209,24.0,13.76,0.573333,0.953789,24.0,15.35,0.639583,1.064002
Penner Farms - 32-8-13 pump (site 1),2024-01-21,Normal,56.9,,,24.0,19.45,0.810417,1.025483,24.0,22.22,0.925833,1.171529,24.0,15.23,0.634583,0.802988
Penner Farms - 32-8-13 pump (site 1),,Marker - 20 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - 32-8-13 pump (site 1),2024-02-11,Normal,200.5,,,24.0,67.27,2.802917,1.006534,24.0,64.42,2.684167,0.96389,24.0,68.81,2.867083,1.029576
Penner Farms - 32-8-13 pump (site 1),2024-02-12,Normal,225.05,,,24.0,76.03,3.167917,1.013508,24.0,72.27,3.01125,0.963386,24.0,76.75,3.197917,1.023106
Penner Farms - 32-8-13 pump (site 1),2024-02-13,Normal,135.35,,,24.0,44.4,1.85,0.984115,24.0,43.36,1.806667,0.961064,24.0,47.59,1.982917,1.054821
Penner Farms - 32-8-13 pump (site 1),2024-02-14,Normal,415.14,,,24.0,140.07,5.83625,1.012213,24.0,136.08,5.67,0.983379,24.0,138.99,5.79125,1.004408
Penner Farms - 32-8-13 pump (site 1),2024-02-15,Normal,371.98,,,24.0,124.81,5.200417,1.006586,24.0,120.75,5.03125,0.973843,24.0,126.42,5.2675,1.019571
Penner Farms - 32-8-13 pump (site 1),2024-02-16,sustained_underperformance,412.79,FRONIUS-c3c803c9-49a6-4c83-9884--G003,Symo  24.0-3 480 (1) (115C8E),24.0,74.69,3.112083,0.542818,24.0,165.26,6.885833,1.201047,24.0,172.84,7.201667,1.256135
Penner Farms - 32-8-13 pump (site 1),2024-02-17,sustained_underperformance,434.04,FRONIUS-c3c803c9-49a6-4c83-9884--G003,Symo  24.0-3 480 (1) (115C8E),24.0,96.11,4.004583,0.664294,24.0,165.58,6.899167,1.144457,24.0,172.35,7.18125,1.19125
Penner Farms - 32-8-13 pump (site 1),2024-02-18,sustained_underperformance,318.77,FRONIUS-c3c803c9-49a6-4c83-9884--G003,Symo  24.0-3 480 (1) (115C8E),24.0,63.76,2.656667,0.600056,24.0,124.75,5.197917,1.174044,24.0,130.26,5.4275,1.2259
Penner Farms - 32-8-13 pump (site 1),2024-02-19,Normal,491.83,,,24.0,165.16,6.881667,1.007421,24.0,159.2,6.633333,0.971067,24.0,167.47,6.977917,1.021511
Penner Farms - 32-8-13 pump (site 1),2024-02-20,Normal,335.05,,,24.0,108.0,4.5,0.96702,24.0,110.62,4.609167,0.990479,24.0,116.43,4.85125,1.042501
