site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo  24.0-3 480 (1)__rated_kw,Symo  24.0-3 480 (1)__daily_energy_kwh,Symo  24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (5)__rated_kw,Symo  24.0-3 480 (5)__daily_energy_kwh,Symo  24.0-3 480 (5)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (5)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (6)__rated_kw,Symo  24.0-3 480 (6)__daily_energy_kwh,Symo  24.0-3 480 (6)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (6)__relative_specific_yield_vs_site_avg,Symo  24.0-3 480 (8)__rated_kw,Symo  24.0-3 480 (8)__daily_energy_kwh,Symo  24.0-3 480 (8)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (8)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (7)__rated_kw,Symo 24.0-3 480 (7)__daily_energy_kwh,Symo 24.0-3 480 (7)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (7)__relative_specific_yield_vs_site_avg
Penner Farms - 33-8-13 pump (site 3),2025-01-07,Normal,560.49,,,,24.0,110.97,4.62375,0.989937,24.0,116.27,4.844583,1.037217,24.0,106.76,4.448333,0.952381,24.0,116.61,4.85875,1.04025,24.0,109.88,4.578333,0.980214
Penner Farms - 33-8-13 pump (site 3),2025-01-08,Normal,141.17,,,,24.0,28.1,1.170833,0.995254,24.0,28.45,1.185417,1.00765,24.0,28.03,1.167917,0.992775,24.0,28.51,1.187917,1.009775,24.0,28.08,1.17,0.994546
Penner Farms - 33-8-13 pump (site 3),2025-01-09,Normal,553.84,,,,24.0,109.88,4.578333,0.991983,24.0,113.96,4.748333,1.028817,24.0,106.5,4.4375,0.961469,24.0,114.66,4.7775,1.035137,24.0,108.84,4.535,0.982594
Penner Farms - 33-8-13 pump (site 3),2025-01-10,Normal,115.31,,,,24.0,23.08,0.961667,1.000781,24.0,23.31,0.97125,1.010754,24.0,22.83,0.95125,0.98994,24.0,23.29,0.970417,1.009886,24.0,22.8,0.95,0.988639
Penner Farms - 33-8-13 pump (site 3),2025-01-11,Normal,69.77,,,,24.0,14.01,0.58375,1.004013,24.0,14.1,0.5875,1.010463,24.0,13.82,0.575833,0.990397,24.0,14.05,0.585417,1.00688,24.0,13.79,0.574583,0.988247
Penner Farms - 33-8-13 pump (site 3),2025-01-12,Normal,24.63,,,,24.0,4.99,0.207917,1.012992,24.0,4.64,0.193333,0.941941,24.0,4.83,0.20125,0.980512,24.0,4.84,0.201667,0.982542,24.0,5.33,0.222083,1.082014
Penner Farms - 33-8-13 pump (site 3),2025-01-13,Normal,267.21,,,,24.0,52.91,2.204583,0.990045,24.0,54.02,2.250833,1.010815,24.0,50.53,2.105417,0.945511,24.0,55.64,2.318333,1.041129,24.0,54.11,2.254583,1.0125
Penner Farms - 33-8-13 pump (site 3),2025-01-14,Normal,293.4,,,,24.0,58.33,2.430417,0.994035,24.0,59.27,2.469583,1.010055,24.0,57.84,2.41,0.985685,24.0,59.55,2.48125,1.014826,24.0,58.41,2.43375,0.995399
Penner Farms - 33-8-13 pump (site 3),2025-01-15,Normal,506.53,,,,24.0,100.86,4.2025,0.995597,24.0,103.29,4.30375,1.019584,24.0,98.4,4.1,0.971315,24.0,103.82,4.325833,1.024816,24.0,100.16,4.173333,0.988688
Penner Farms - 33-8-13 pump (site 3),2025-01-16,Normal,471.03,,,,24.0,93.29,3.887083,0.990277,24.0,95.03,3.959583,1.008747,24.0,92.95,3.872917,0.986668,24.0,95.51,3.979583,1.013842,24.0,94.25,3.927083,1.000467
Penner Farms - 33-8-13 pump (site 3),2025-01-17,sustained_underperformance,199.09,FRONIUS-a93e4e65-6f50-4a8f-a7e3--001,Symo 24.0-3 480 (7),,24.0,39.09,1.62875,0.981717,24.0,46.47,1.93625,1.16706,24.0,32.81,1.367083,0.823999,24.0,50.13,2.08875,1.258978,24.0,30.59,1.274583,0.768246
Penner Farms - 33-8-13 pump (site 3),2025-01-18,sustained_underperformance,287.86,FRONIUS-a93e4e65-6f50-4a8f-a7e3--001,Symo 24.0-3 480 (7),,24.0,53.39,2.224583,0.927361,24.0,88.21,3.675417,1.532168,24.0,27.46,1.144167,0.476968,24.0,89.59,3.732917,1.556138,24.0,29.21,1.217083,0.507365
Penner Farms - 33-8-13 pump (site 3),2025-01-19,sustained_underperformance,448.51,FRONIUS-a93e4e65-6f50-4a8f-a7e3--001,Symo 24.0-3 480 (7),,24.0,88.38,3.6825,0.985262,24.0,129.16,5.381667,1.439879,24.0,45.7,1.904167,0.509465,24.0,135.36,5.64,1.508996,24.0,49.91,2.079583,0.556398
Penner Farms - 33-8-13 pump (site 3),2025-01-20,sustained_underperformance,443.99,FRONIUS-a93e4e65-6f50-4a8f-a7e3--001,Symo 24.0-3 480 (7),,24.0,89.84,3.743333,1.011734,24.0,122.99,5.124583,1.385054,24.0,49.78,2.074167,0.560598,24.0,126.63,5.27625,1.426046,24.0,54.75,2.28125,0.616568
Penner Farms - 33-8-13 pump (site 3),,Omitted,,,,0,,,,,,,,,,,,,,,,,,,,
