incident_id,site_name,affected_inverters,status,start_date,end_date,days,confidence_score,confidence_label,estimated_lost_production_kwh,member_incident_count,reason,source_file
FRONIUS-d95b5e9d-f2d5-4950-85a9--G001,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2022-08-11,2022-08-11,1,93,high,589.075,1,"ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 589.1 and 589.1 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2022-10-24,2022-10-31,8,100,high,872.82,1,"ALL_INVERTERS: Missing site data: no rows were present for 8 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 85.3 and 208.9 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G003,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2023-06-10,2023-06-10,1,93,high,536.98,1,"ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 537.0 and 537.0 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G004,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2023-06-29,2023-06-29,1,93,high,586.64,1,"ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 586.6 and 586.6 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G005,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2023-12-08,2023-12-10,3,100,high,551.055,1,"ALL_INVERTERS: Missing site data: no rows were present for 3 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 175.1 and 200.8 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G006,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2024-05-17,2024-05-17,1,93,high,467.57,1,"ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 467.6 and 467.6 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G007,Penner Farms - SE 27-8-13 (site 2),Symo 24.0-3 480 (1) (636559),sustained_underperformance,2025-01-04,2025-01-06,3,39,low,53.550336,1,"Symo 24.0-3 480 (1) (636559): Sustained underperformance: actual output was typically 57.4% of expected for 3 day(s), bottoming at 53.6%, while peers remained active.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G008,Penner Farms - SE 27-8-13 (site 2),Symo 24.0-3 480 (3) (636570),sustained_underperformance,2025-02-10,2025-02-12,3,44,low,66.739741,1,"Symo 24.0-3 480 (3) (636570): Sustained underperformance: actual output was typically 77.0% of expected for 3 day(s), bottoming at 75.0%, while peers remained active.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G009,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2025-04-13,2025-04-14,2,97,high,947.09,1,"ALL_INVERTERS: Missing site data: no rows were present for 2 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 453.5 and 493.5 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G010,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2025-06-20,2025-06-20,1,93,high,602.98,1,"ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 603.0 and 603.0 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G011,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2025-07-13,2025-07-19,7,100,high,4145.005,1,"ALL_INVERTERS: Missing site data: no rows were present for 7 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 576.4 and 602.2 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G012,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2025-07-24,2025-07-29,6,100,high,2081.605,1,"ALL_INVERTERS: Missing site data: no rows were present for 6 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 282.2 and 430.9 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G013,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2025-12-16,2025-12-16,1,89,high,81.06,1,"ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 81.1 and 81.1 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
FRONIUS-d95b5e9d-f2d5-4950-85a9--G014,Penner Farms - SE 27-8-13 (site 2),ALL_INVERTERS,site_missing_data,2026-05-09,2026-05-10,2,97,high,1118.075,1,"ALL_INVERTERS: Missing site data: no rows were present for 2 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 555.9 and 562.2 kWh.",fronius_Penner_Farms_-_SE_27-8-13_site_2__d95b5e9d-f2d5-4950-85a9-909e52f727ba.csv
