site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo 24.0-3 480 (1) (636559)__rated_kw,Symo 24.0-3 480 (1) (636559)__daily_energy_kwh,Symo 24.0-3 480 (1) (636559)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (636559)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (2) (636562)__rated_kw,Symo 24.0-3 480 (2) (636562)__daily_energy_kwh,Symo 24.0-3 480 (2) (636562)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (2) (636562)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (3) (636570)__rated_kw,Symo 24.0-3 480 (3) (636570)__daily_energy_kwh,Symo 24.0-3 480 (3) (636570)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (3) (636570)__relative_specific_yield_vs_site_avg
Penner Farms - SE 27-8-13 (site 2),2022-08-01,Normal,568.06,,,24.0,188.05,7.835417,0.993117,24.0,189.66,7.9025,1.00162,24.0,190.35,7.93125,1.005264
Penner Farms - SE 27-8-13 (site 2),2022-08-02,Normal,594.42,,,24.0,196.71,8.19625,0.992783,24.0,198.47,8.269583,1.001665,24.0,199.24,8.301667,1.005552
Penner Farms - SE 27-8-13 (site 2),2022-08-03,Normal,563.93,,,24.0,187.08,7.795,0.99523,24.0,188.16,7.84,1.000975,24.0,188.69,7.862083,1.003795
Penner Farms - SE 27-8-13 (site 2),2022-08-04,Normal,571.29,,,24.0,189.49,7.895417,0.995064,24.0,190.54,7.939167,1.000578,24.0,191.26,7.969167,1.004359
Penner Farms - SE 27-8-13 (site 2),2022-08-05,Normal,589.13,,,24.0,195.91,8.162917,0.997624,24.0,197.45,8.227083,1.005466,24.0,195.77,8.157083,0.996911
Penner Farms - SE 27-8-13 (site 2),2022-08-06,Normal,623.26,,,24.0,206.23,8.592917,0.992668,24.0,208.29,8.67875,1.002583,24.0,208.74,8.6975,1.004749
Penner Farms - SE 27-8-13 (site 2),2022-08-07,Normal,614.44,,,24.0,204.18,8.5075,0.996908,24.0,205.04,8.543333,1.001107,24.0,205.22,8.550833,1.001986
Penner Farms - SE 27-8-13 (site 2),2022-08-08,Normal,608.33,,,24.0,202.16,8.423333,0.996959,24.0,202.99,8.457917,1.001052,24.0,203.18,8.465833,1.001989
Penner Farms - SE 27-8-13 (site 2),2022-08-09,Normal,606.47,,,24.0,201.08,8.378333,0.994674,24.0,202.62,8.4425,1.002292,24.0,202.77,8.44875,1.003034
Penner Farms - SE 27-8-13 (site 2),2022-08-10,Normal,404.32,,,24.0,133.92,5.58,0.993668,24.0,135.14,5.630833,1.002721,24.0,135.26,5.635833,1.003611
Penner Farms - SE 27-8-13 (site 2),2022-08-11,site_missing_data,589.075,FRONIUS-d95b5e9d-f2d5-4950-85a9--G001,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-08-12,Normal,468.96,,,24.0,155.78,6.490833,0.996546,24.0,156.52,6.521667,1.001279,24.0,156.66,6.5275,1.002175
Penner Farms - SE 27-8-13 (site 2),2022-08-13,Normal,515.34,,,24.0,171.08,7.128333,0.995925,24.0,172.21,7.175417,1.002503,24.0,172.05,7.16875,1.001572
Penner Farms - SE 27-8-13 (site 2),2022-08-14,Normal,604.29,,,24.0,200.85,8.36875,0.997121,24.0,201.58,8.399167,1.000745,24.0,201.86,8.410833,1.002135
Penner Farms - SE 27-8-13 (site 2),2022-08-15,Normal,589.02,,,24.0,195.81,8.15875,0.997301,24.0,196.52,8.188333,1.000917,24.0,196.69,8.195417,1.001783
Penner Farms - SE 27-8-13 (site 2),2022-08-16,Normal,586.67,,,24.0,194.97,8.12375,0.997,24.0,195.68,8.153333,1.000631,24.0,196.02,8.1675,1.002369
Penner Farms - SE 27-8-13 (site 2),,Marker - 63 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2022-10-19,Normal,429.89,,,24.0,143.41,5.975417,1.000791,24.0,145.13,6.047083,1.012794,24.0,141.35,5.889583,0.986415
Penner Farms - SE 27-8-13 (site 2),2022-10-20,Normal,208.92,,,24.0,69.4,2.891667,0.996554,24.0,70.13,2.922083,1.007036,24.0,69.39,2.89125,0.99641
Penner Farms - SE 27-8-13 (site 2),2022-10-21,Normal,66.56,,,24.0,22.07,0.919583,0.994742,24.0,22.19,0.924583,1.00015,24.0,22.3,0.929167,1.005108
Penner Farms - SE 27-8-13 (site 2),2022-10-22,Normal,34.81,,,24.0,11.6,0.483333,0.999713,24.0,11.58,0.4825,0.997989,24.0,11.63,0.484583,1.002298
Penner Farms - SE 27-8-13 (site 2),2022-10-23,Normal,3.26,,,24.0,0.89,0.037083,0.819018,24.0,1.08,0.045,0.993865,24.0,1.29,0.05375,1.187117
Penner Farms - SE 27-8-13 (site 2),2022-10-24,site_missing_data,208.92,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-25,site_missing_data,85.26,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-26,site_missing_data,85.26,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-27,site_missing_data,85.26,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-28,site_missing_data,85.26,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-29,site_missing_data,85.26,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-30,site_missing_data,118.8,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-10-31,site_missing_data,118.8,FRONIUS-d95b5e9d-f2d5-4950-85a9--G002,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2022-11-01,Normal,85.26,,,24.0,28.2,1.175,0.992259,24.0,28.55,1.189583,1.004574,24.0,28.51,1.187917,1.003167
Penner Farms - SE 27-8-13 (site 2),2022-11-02,Normal,118.8,,,24.0,36.3,1.5125,0.916667,24.0,42.22,1.759167,1.066162,24.0,40.28,1.678333,1.017172
Penner Farms - SE 27-8-13 (site 2),2022-11-03,Normal,447.75,,,24.0,146.99,6.124583,0.984858,24.0,150.73,6.280417,1.009916,24.0,150.03,6.25125,1.005226
Penner Farms - SE 27-8-13 (site 2),2022-11-04,Normal,383.76,,,24.0,126.92,5.288333,0.992183,24.0,128.96,5.373333,1.00813,24.0,127.88,5.328333,0.999687
Penner Farms - SE 27-8-13 (site 2),2022-11-05,Normal,53.05,,,24.0,19.54,0.814167,1.104995,24.0,18.79,0.782917,1.062582,24.0,14.72,0.613333,0.832422
Penner Farms - SE 27-8-13 (site 2),,Marker - 211 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2023-06-05,Normal,598.19,,,24.0,199.01,8.292083,0.998061,24.0,199.21,8.300417,0.999064,24.0,199.97,8.332083,1.002875
Penner Farms - SE 27-8-13 (site 2),2023-06-06,Normal,447.19,,,24.0,148.35,6.18125,0.995215,24.0,149.29,6.220417,1.001521,24.0,149.55,6.23125,1.003265
Penner Farms - SE 27-8-13 (site 2),2023-06-07,Normal,598.55,,,24.0,198.41,8.267083,0.994453,24.0,199.25,8.302083,0.998663,24.0,200.89,8.370417,1.006883
Penner Farms - SE 27-8-13 (site 2),2023-06-08,Normal,568.36,,,24.0,188.96,7.873333,0.997396,24.0,189.03,7.87625,0.997766,24.0,190.37,7.932083,1.004838
Penner Farms - SE 27-8-13 (site 2),2023-06-09,Normal,369.13,,,24.0,122.23,5.092917,0.99339,24.0,123.24,5.135,1.001598,24.0,123.66,5.1525,1.005012
Penner Farms - SE 27-8-13 (site 2),2023-06-10,site_missing_data,536.98,FRONIUS-d95b5e9d-f2d5-4950-85a9--G003,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2023-06-11,Normal,0.03,,,24.0,0.01,0.000417,1.0,24.0,0.01,0.000417,1.0,24.0,0.01,0.000417,1.0
Penner Farms - SE 27-8-13 (site 2),2023-06-12,Normal,565.8,,,24.0,187.82,7.825833,0.995864,24.0,188.47,7.852917,0.999311,24.0,189.51,7.89625,1.004825
Penner Farms - SE 27-8-13 (site 2),2023-06-13,Normal,640.95,,,24.0,212.27,8.844583,0.993541,24.0,213.73,8.905417,1.000374,24.0,214.95,8.95625,1.006085
Penner Farms - SE 27-8-13 (site 2),2023-06-14,Normal,496.41,,,24.0,164.65,6.860417,0.995044,24.0,165.42,6.8925,0.999698,24.0,166.34,6.930833,1.005258
Penner Farms - SE 27-8-13 (site 2),2023-06-15,Normal,468.3,,,24.0,155.31,6.47125,0.994939,24.0,156.34,6.514167,1.001537,24.0,156.65,6.527083,1.003523
Penner Farms - SE 27-8-13 (site 2),,Marker - 8 additional day(s) without incident,,,,,,,,,,,,,,,
Penner Farms - SE 27-8-13 (site 2),2023-06-24,Normal,340.52,,,24.0,112.96,4.706667,0.995184,24.0,113.25,4.71875,0.997739,24.0,114.31,4.762917,1.007077
Penner Farms - SE 27-8-13 (site 2),2023-06-25,Normal,275.14,,,24.0,91.29,3.80375,0.995384,24.0,91.83,3.82625,1.001272,24.0,92.02,3.834167,1.003344
Penner Farms - SE 27-8-13 (site 2),2023-06-26,Normal,639.09,,,24.0,212.13,8.83875,0.995775,24.0,212.54,8.855833,0.9977,24.0,214.42,8.934167,1.006525
Penner Farms - SE 27-8-13 (site 2),2023-06-27,Normal,602.86,,,24.0,200.16,8.34,0.996052,24.0,200.55,8.35625,0.997993,24.0,202.15,8.422917,1.005955
Penner Farms - SE 27-8-13 (site 2),2023-06-28,Normal,531.85,,,24.0,176.28,7.345,0.994341,24.0,177.0,7.375,0.998402,24.0,178.57,7.440417,1.007258
Penner Farms - SE 27-8-13 (site 2),2023-06-29,site_missing_data,586.64,FRONIUS-d95b5e9d-f2d5-4950-85a9--G004,ALL_INVERTERS,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - SE 27-8-13 (site 2),2023-06-30,Normal,600.73,,,24.0,199.38,8.3075,0.995689,24.0,199.98,8.3325,0.998685,24.0,201.37,8.390417,1.005626
Penner Farms - SE 27-8-13 (site 2),2023-07-01,Normal,636.47,,,24.0,211.54,8.814167,0.997093,24.0,211.79,8.824583,0.998272,24.0,213.14,8.880833,1.004635
Penner Farms - SE 27-8-13 (site 2),2023-07-02,Normal,570.85,,,24.0,189.45,7.89375,0.995621,24.0,190.29,7.92875,1.000035,24.0,191.11,7.962917,1.004344
Penner Farms - SE 27-8-13 (site 2),2023-07-03,Normal,567.65,,,24.0,188.22,7.8425,0.994733,24.0,189.41,7.892083,1.001022,24.0,190.02,7.9175,1.004246
Penner Farms - SE 27-8-13 (site 2),2023-07-04,Normal,453.4,,,24.0,150.25,6.260417,0.994155,24.0,151.63,6.317917,1.003286,24.0,151.52,6.313333,1.002558
