incident_id,site_name,affected_inverters,status,start_date,end_date,days,confidence_score,confidence_label,estimated_lost_production_kwh,member_incident_count,reason,source_file
FRONIUS-f9342ead-59a2-4c58-b54c--G001,Penner Farms - W 1/2 4-9-13 (site 4),Symo Advanced 24.0-3 480 (2) (EF27F3),offline_or_near_zero,2022-05-01,2022-10-20,173,100,high,28633.607429,1,"Symo Advanced 24.0-3 480 (2) (EF27F3): Likely outage/near-zero production: actual output was 0.0% of expected for 173 day(s), with expected daily energy between 34.5 and 222.6 kWh.",fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G002,Penner Farms - W 1/2 4-9-13 (site 4),ALL_INVERTERS | Symo 24.0-3 480 (3) (62927E) | Symo Advanced 24.0-3 480 (2) (EF27F3),site_missing_data,2022-10-24,2023-10-21,363,100,high,47178.031536,4,"Symo Advanced 24.0-3 480 (2) (EF27F3): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s). | ALL_INVERTERS: Missing site data: no rows were present for 8 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 51.7 and 90.9 kWh. | Symo Advanced 24.0-3 480 (2) (EF27F3): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s). | Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s).",fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G003,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2023-10-27,2023-11-20,25,100,high,2223.520803,1,Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s).,fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G004,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2023-11-24,2023-12-06,13,99,high,884.151472,1,"Symo 24.0-3 480 (3) (62927E): Likely outage/near-zero production: actual output was 0.0% of expected for 13 day(s), with expected daily energy between 25.1 and 130.9 kWh.",fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G005,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2023-12-10,2024-01-16,38,98,high,2392.870272,1,Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s).,fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G006,Penner Farms - W 1/2 4-9-13 (site 4),ALL_INVERTERS | Symo 24.0-3 480 (3) (62927E),site_missing_data,2024-01-23,2024-11-21,304,100,high,45364.070979,11,"Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s). | ALL_INVERTERS: Missing site data: no rows were present for 9 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 324.9 and 337.9 kWh. | Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s). | ALL_INVERTERS: Missing site data: no rows were present for 4 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 271.9 and 288.1 kWh. | Symo 24.0-3 480 (3) (62927E): Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 161.3 and 161.3 kWh. | ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 274.3 and 274.3 kWh. | Symo 24.0-3 480 (3) (62927E): Likely outage/near-zero production: actual output was 0.0% of expected for 71 day(s), with expected daily energy between 69.9 and 217.9 kWh. | ALL_INVERTERS: Missing site data: no rows were present for 8 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 318.0 and 390.4 kWh. | Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s). | ALL_INVERTERS: Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 251.3 and 251.3 kWh. | Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 2 normal day(s).",fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G007,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2024-12-02,2024-12-15,14,97,high,671.845354,1,Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s).,fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G008,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2024-12-19,2024-12-30,12,97,high,686.060405,1,Symo 24.0-3 480 (3) (62927E): Merged adjacent offline_or_near_zero periods because the fault only paused for 1 normal day(s).,fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G009,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2025-01-04,2025-01-09,6,98,high,429.833486,1,"Symo 24.0-3 480 (3) (62927E): Likely outage/near-zero production: actual output was 0.0% of expected for 6 day(s), with expected daily energy between 32.5 and 123.3 kWh.",fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
FRONIUS-f9342ead-59a2-4c58-b54c--G010,Penner Farms - W 1/2 4-9-13 (site 4),Symo 24.0-3 480 (3) (62927E),offline_or_near_zero,2025-01-13,2025-01-31,19,100,high,1547.171133,1,"Symo 24.0-3 480 (3) (62927E): Likely outage/near-zero production: actual output was 0.0% of expected for 19 day(s), with expected daily energy between 27.6 and 144.7 kWh.",fronius_Penner_Farms_-_W_1_2_4-9-13_site_4__f9342ead-59a2-4c58-b54c-0ae4ab16c9da.csv
