site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo  24.0-3 480 (1)__rated_kw,Symo  24.0-3 480 (1)__daily_energy_kwh,Symo  24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo  24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2)__rated_kw,Symo Advanced 24.0-3 480 (2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2)__relative_specific_yield_vs_site_avg
Penner Farms - W 1/2 4-9-13 (site 4),2024-04-30,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-01,Normal,162.95,,,,24.0,80.35,3.347917,0.986192,24.0,82.6,3.441667,1.013808
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-02,Normal,157.66,,,,24.0,77.35,3.222917,0.981225,24.0,80.31,3.34625,1.018775
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-03,Normal,338.62,,,,24.0,167.98,6.999167,0.992145,24.0,170.64,7.11,1.007855
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-04,Normal,403.91,,,,24.0,200.51,8.354583,0.992845,24.0,203.4,8.475,1.007155
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-05,Normal,212.94,,,,24.0,105.13,4.380417,0.987414,24.0,107.81,4.492083,1.012586
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-06,Normal,288.06,,,,24.0,142.72,5.946667,0.990905,24.0,145.34,6.055833,1.009095
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-07,Normal,35.03,,,,24.0,19.26,0.8025,1.099629,24.0,15.77,0.657083,0.900371
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-08,Normal,68.9,,,,24.0,37.88,1.578333,1.099565,24.0,31.02,1.2925,0.900435
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-09,Normal,428.38,,,,24.0,215.12,8.963333,1.004342,24.0,213.26,8.885833,0.995658
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-10,site_missing_data,288.06,FRONIUS-f9342ead-59a2-4c58-b54c--001,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-11,site_missing_data,288.06,FRONIUS-f9342ead-59a2-4c58-b54c--001,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-12,site_missing_data,271.95,FRONIUS-f9342ead-59a2-4c58-b54c--001,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-13,site_missing_data,274.27,FRONIUS-f9342ead-59a2-4c58-b54c--001,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,1,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-15,site_missing_data,274.27,FRONIUS-f9342ead-59a2-4c58-b54c--002,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-16,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-17,Normal,141.46,,,,24.0,71.09,2.962083,1.00509,24.0,70.37,2.932083,0.99491
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-18,Normal,341.81,,,,24.0,169.91,7.079583,0.994178,24.0,171.9,7.1625,1.005822
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-19,Normal,271.95,,,,24.0,138.89,5.787083,1.021438,24.0,133.06,5.544167,0.978562
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-20,Normal,274.27,,,,24.0,137.69,5.737083,1.004047,24.0,136.58,5.690833,0.995953
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-21,Normal,327.35,,,,24.0,162.2,6.758333,0.990988,24.0,165.15,6.88125,1.009012
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-22,Normal,225.83,,,,24.0,112.04,4.668333,0.992251,24.0,113.79,4.74125,1.007749
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-23,Normal,284.75,,,,24.0,141.47,5.894583,0.993644,24.0,143.28,5.97,1.006356
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-24,Normal,345.59,,,,24.0,172.14,7.1725,0.996209,24.0,173.45,7.227083,1.003791
Penner Farms - W 1/2 4-9-13 (site 4),2024-05-25,Normal,309.44,,,,24.0,152.99,6.374583,0.988819,24.0,156.45,6.51875,1.011181
Penner Farms - W 1/2 4-9-13 (site 4),,Omitted,,,,52,,,,,,,,
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-17,Normal,410.91,,,,24.0,202.85,8.452083,0.987321,24.0,208.06,8.669167,1.012679
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-18,Normal,212.07,,,,24.0,104.02,4.334167,0.980997,24.0,108.05,4.502083,1.019003
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-19,Normal,400.25,,,,24.0,196.89,8.20375,0.983835,24.0,203.36,8.473333,1.016165
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-20,Normal,393.39,,,,24.0,193.4,8.058333,0.983248,24.0,199.99,8.332917,1.016752
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-21,Normal,383.38,,,,24.0,188.25,7.84375,0.982054,24.0,195.13,8.130417,1.017946
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-22,Normal,322.26,,,,24.0,158.09,6.587083,0.981133,24.0,164.17,6.840417,1.018867
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-23,Normal,390.45,,,,24.0,191.66,7.985833,0.981739,24.0,198.79,8.282917,1.018261
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-24,Normal,400.48,,,,24.0,197.04,8.21,0.984019,24.0,203.44,8.476667,1.015981
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-25,Normal,368.66,,,,24.0,181.6,7.566667,0.98519,24.0,187.06,7.794167,1.01481
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-26,Normal,419.55,,,,24.0,207.48,8.645,0.98906,24.0,212.07,8.83625,1.01094
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-27,site_missing_data,390.45,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-28,site_missing_data,383.38,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-29,site_missing_data,368.66,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-30,site_missing_data,368.66,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-07-31,site_missing_data,318.03,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-01,site_missing_data,318.03,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-02,site_missing_data,318.03,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-03,site_missing_data,318.03,FRONIUS-f9342ead-59a2-4c58-b54c--003,ALL_INVERTERS,,24.0,0.0,0.0,,24.0,0.0,0.0,
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-04,Normal,153.48,,,,24.0,121.21,5.050417,1.579489,24.0,32.27,1.344583,0.420511
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-05,Normal,318.03,,,,24.0,157.48,6.561667,0.990347,24.0,160.55,6.689583,1.009653
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-06,Normal,310.6,,,,24.0,154.18,6.424167,0.992788,24.0,156.42,6.5175,1.007212
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-07,Normal,209.41,,,,24.0,104.04,4.335,0.993649,24.0,105.37,4.390417,1.006351
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-08,Normal,407.8,,,,24.0,203.09,8.462083,0.996027,24.0,204.71,8.529583,1.003973
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-09,Normal,396.45,,,,24.0,197.0,8.208333,0.99382,24.0,199.45,8.310417,1.00618
Penner Farms - W 1/2 4-9-13 (site 4),2024-08-10,Normal,390.86,,,,24.0,193.98,8.0825,0.99258,24.0,196.88,8.203333,1.00742
