incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
FRONIUS-541a9f8e-ab20-4397-85a9--001,SW28-8-11-w4,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2024-05-01,2024-05-06,6,75,medium,1.0,0.497827,0.494911,124.79,365.93,61.76,182.84,1,"Sustained underperformance: actual output was typically 49.8% of expected for 6 day(s), bottoming at 49.5%, while peers remained active.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--002,SW28-8-11-w4,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2024-05-08,2024-07-15,69,77,medium,1.0,0.498267,0.494951,54.09,384.78,26.88,191.66,1,"Sustained underperformance: actual output was typically 49.8% of expected for 69 day(s), bottoming at 49.5%, while peers remained active.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--003,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2024-07-16,2024-07-28,13,96,high,0.501696,0.0,0.0,54.664791,91.158154,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 13 day(s), with expected daily energy between 54.7 and 91.2 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--004,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2024-07-31,2024-07-31,1,89,high,0.501696,0.0,0.0,85.880313,85.880313,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 85.9 and 85.9 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--005,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2024-08-02,2024-08-13,12,96,high,0.501696,0.0,0.0,34.070172,87.982419,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 12 day(s), with expected daily energy between 34.1 and 88.0 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--006,SW28-8-11-w4,ALL_INVERTERS,site_missing_data,2024-08-14,2024-08-14,1,93,high,1.0,0.0,0.0,157.09,157.09,0.0,0.0,2,"Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 157.1 and 157.1 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--007,SW28-8-11-w4,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2024-08-15,2024-08-17,3,63,low,1.0,0.496287,0.49435,181.81,334.52,90.23,165.37,1,"Sustained underperformance: actual output was typically 49.6% of expected for 3 day(s), bottoming at 49.4%, while peers remained active.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--008,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2024-08-18,2024-08-18,1,88,high,0.501696,0.0,0.0,72.259268,72.259268,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 72.3 and 72.3 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--009,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2024-08-20,2024-09-05,17,96,high,0.501696,0.0,0.0,42.599003,85.980652,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 17 day(s), with expected daily energy between 42.6 and 86.0 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--010,SW28-8-11-w4,ALL_INVERTERS,site_missing_data,2024-09-06,2024-09-12,7,100,high,1.0,0.0,0.0,154.585,157.81,0.0,0.0,2,"Missing site data: no rows were present for 7 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 154.6 and 157.8 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--011,SW28-8-11-w4,ALL_INVERTERS,site_missing_data,2025-04-06,2025-04-12,7,100,high,1.0,0.0,0.0,164.93,178.21,0.0,0.0,2,"Missing site data: no rows were present for 7 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 164.9 and 178.2 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--012,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-04-13,2025-06-19,68,96,high,0.501696,0.0,0.0,22.195029,97.213625,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 68 day(s), with expected daily energy between 22.2 and 97.2 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--013,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-06-21,2025-07-13,23,96,high,0.501696,0.0,0.0,29.193687,92.873955,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 23 day(s), with expected daily energy between 29.2 and 92.9 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--014,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-07-15,2025-07-16,2,92,high,0.501696,0.0,0.0,40.88822,81.846678,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 2 day(s), with expected daily energy between 40.9 and 81.8 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--015,SW28-8-11-w4,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2025-07-17,2025-07-20,4,70,medium,1.0,0.503295,0.501309,134.86,347.55,78.35,174.23,1,"Sustained underperformance: actual output was typically 50.3% of expected for 4 day(s), bottoming at 50.1%, while peers remained active.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--016,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-07-21,2025-07-21,1,85,high,0.501696,0.0,0.0,28.616737,28.616737,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 28.6 and 28.6 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--017,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-07-23,2025-08-14,23,96,high,0.501696,0.0,0.0,18.632988,89.668117,0.0,0.01,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 23 day(s), with expected daily energy between 18.6 and 89.7 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--018,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-08-17,2025-09-07,22,96,high,0.501696,0.0,0.0,28.852534,86.211432,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 22 day(s), with expected daily energy between 28.9 and 86.2 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--019,SW28-8-11-w4,ALL_INVERTERS,site_missing_data,2025-09-08,2025-09-11,4,100,high,1.0,0.0,0.0,144.94,152.3,0.0,0.0,2,"Missing site data: no rows were present for 4 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 144.9 and 152.3 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--020,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-09-12,2025-09-15,4,95,high,0.501696,0.0,0.0,55.939099,76.408293,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 4 day(s), with expected daily energy between 55.9 and 76.4 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--021,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-09-17,2025-10-03,17,95,high,0.501696,0.0,0.0,33.036678,79.343215,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 17 day(s), with expected daily energy between 33.0 and 79.3 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--022,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-10-05,2025-10-11,7,95,high,0.501696,0.0,0.0,58.969342,75.038664,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 7 day(s), with expected daily energy between 59.0 and 75.0 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--023,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-10-13,2025-10-16,4,95,high,0.501696,0.0,0.0,16.676373,71.366249,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 4 day(s), with expected daily energy between 16.7 and 71.4 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--024,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-10-18,2025-10-31,14,95,high,0.501696,0.0,0.0,30.217147,70.533434,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 14 day(s), with expected daily energy between 30.2 and 70.5 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
FRONIUS-541a9f8e-ab20-4397-85a9--025,SW28-8-11-w4,Symo Advanced 24.0-3 480 (2),offline_or_near_zero,2025-11-02,2025-11-02,1,88,high,0.501696,0.0,0.0,66.931257,66.931257,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 66.9 and 66.9 kWh.",fronius_SW28-8-11-w4__541a9f8e-ab20-4397-85a9-435882a5739c.csv
