site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo Advanced 24.0-3 480 (1)__rated_kw,Symo Advanced 24.0-3 480 (1)__daily_energy_kwh,Symo Advanced 24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2)__rated_kw,Symo Advanced 24.0-3 480 (2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2)__relative_specific_yield_vs_site_avg
SW28-8-11-w4,2024-04-21,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-22,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-23,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-24,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-25,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-26,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-27,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-28,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-29,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-04-30,Normal,,,,,24.0,0.0,0.0,,24.0,0.0,0.0,
SW28-8-11-w4,2024-05-01,sustained_underperformance,128.03,FRONIUS-541a9f8e-ab20-4397-85a9--001,Symo Advanced 24.0-3 480 (1),,24.0,63.75,2.65625,0.99586,24.0,64.28,2.678333,1.00414
SW28-8-11-w4,2024-05-02,sustained_underperformance,124.79,FRONIUS-541a9f8e-ab20-4397-85a9--001,Symo Advanced 24.0-3 480 (1),,24.0,61.76,2.573333,0.989823,24.0,63.03,2.62625,1.010177
SW28-8-11-w4,2024-05-03,sustained_underperformance,287.79,FRONIUS-541a9f8e-ab20-4397-85a9--001,Symo Advanced 24.0-3 480 (1),,24.0,143.61,5.98375,0.998019,24.0,144.18,6.0075,1.001981
SW28-8-11-w4,2024-05-04,sustained_underperformance,365.93,FRONIUS-541a9f8e-ab20-4397-85a9--001,Symo Advanced 24.0-3 480 (1),,24.0,182.84,7.618333,0.999317,24.0,183.09,7.62875,1.000683
SW28-8-11-w4,2024-05-05,sustained_underperformance,173.47,FRONIUS-541a9f8e-ab20-4397-85a9--001,Symo Advanced 24.0-3 480 (1),,24.0,86.34,3.5975,0.995446,24.0,87.13,3.630417,1.004554
SW28-8-11-w4,2024-05-06,sustained_underperformance,209.57,FRONIUS-541a9f8e-ab20-4397-85a9--001,Symo Advanced 24.0-3 480 (1),,24.0,104.26,4.344167,0.99499,24.0,105.31,4.387917,1.00501
SW28-8-11-w4,,Omitted,,,,1,,,,,,,,
SW28-8-11-w4,2024-05-08,sustained_underperformance,54.09,FRONIUS-541a9f8e-ab20-4397-85a9--002,Symo Advanced 24.0-3 480 (1),,24.0,26.88,1.12,0.993899,24.0,27.21,1.13375,1.006101
SW28-8-11-w4,2024-05-09,sustained_underperformance,375.15,FRONIUS-541a9f8e-ab20-4397-85a9--002,Symo Advanced 24.0-3 480 (1),,24.0,186.79,7.782917,0.995815,24.0,188.36,7.848333,1.004185
SW28-8-11-w4,2024-05-10,sustained_underperformance,368.51,FRONIUS-541a9f8e-ab20-4397-85a9--002,Symo Advanced 24.0-3 480 (1),,24.0,184.58,7.690833,1.001764,24.0,183.93,7.66375,0.998236
SW28-8-11-w4,2024-05-11,sustained_underperformance,360.57,FRONIUS-541a9f8e-ab20-4397-85a9--002,Symo Advanced 24.0-3 480 (1),,24.0,179.26,7.469167,0.994315,24.0,181.31,7.554583,1.005685
