incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
FRONIUS-ab8e0174-0a82-4a59-ac40--001,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2024-07-25,2024-07-25,1,88,high,0.448817,0.011148,0.011148,80.733183,80.733183,0.9,0.9,1,"Likely outage/near-zero production: actual output was 1.1% of expected for 1 day(s), with expected daily energy between 80.7 and 80.7 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--002,SW29-8-11-w4,Symo Advanced 24.0-3 480 (2),sustained_underperformance,2025-02-05,2025-02-12,8,55,low,0.554124,0.753213,0.41663,28.969618,89.917749,18.85,67.65,1,"Sustained underperformance: actual output was typically 75.3% of expected for 8 day(s), bottoming at 41.7%, while peers remained active.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--003,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-07-01,2025-07-01,1,90,high,0.448817,0.0,0.0,96.03784,96.03784,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 96.0 and 96.0 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--004,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-07-03,2025-07-05,3,96,high,0.448817,0.0,0.0,36.825426,97.101536,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 36.8 and 97.1 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--005,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-07-08,2025-07-08,1,89,high,0.448817,0.043513,0.043513,97.671533,97.671533,4.25,4.25,1,"Likely outage/near-zero production: actual output was 4.4% of expected for 1 day(s), with expected daily energy between 97.7 and 97.7 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--006,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),sustained_underperformance,2025-07-10,2025-07-12,3,62,low,0.448817,0.462641,0.437064,57.79864,121.274814,26.74,58.5,1,"Sustained underperformance: actual output was typically 46.3% of expected for 3 day(s), bottoming at 43.7%, while peers remained active.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--007,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-07-15,2025-07-15,1,87,high,0.448817,0.0,0.0,48.027896,48.027896,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 48.0 and 48.0 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--008,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-07-29,2025-07-29,1,89,high,0.448817,0.0,0.0,91.397073,91.397073,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 91.4 and 91.4 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--009,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-02,2025-08-03,2,90,high,0.448817,0.0,0.0,48.368997,54.34275,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 2 day(s), with expected daily energy between 48.4 and 54.3 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--010,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-05,2025-08-07,3,95,high,0.448817,0.0,0.0,64.477035,82.299554,0.0,0.03,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 64.5 and 82.3 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--011,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-09,2025-08-10,2,93,high,0.448817,0.0,0.0,66.290256,91.105342,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 2 day(s), with expected daily energy between 66.3 and 91.1 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--012,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-17,2025-08-19,3,96,high,0.448817,0.0,0.0,85.867649,88.421417,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 85.9 and 88.4 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--013,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-21,2025-08-21,1,89,high,0.448817,0.0,0.0,91.055972,91.055972,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 91.1 and 91.1 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--014,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-24,2025-08-24,1,89,high,0.448817,0.0,0.0,89.121571,89.121571,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 89.1 and 89.1 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--015,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-26,2025-08-28,3,96,high,0.448817,0.0,0.0,33.984415,87.411579,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 34.0 and 87.4 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--016,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-08-31,2025-08-31,1,89,high,0.448817,0.0,0.0,87.82449,87.82449,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 87.8 and 87.8 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--017,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-02,2025-09-04,3,95,high,0.448817,0.0,0.0,54.472907,76.972098,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 54.5 and 77.0 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--018,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-08,2025-09-10,3,95,high,0.448817,0.0,0.0,30.326558,81.226882,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 3 day(s), with expected daily energy between 30.3 and 81.2 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--019,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-12,2025-09-15,4,96,high,0.448817,0.0,0.0,65.827974,83.767186,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 4 day(s), with expected daily energy between 65.8 and 83.8 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--020,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-17,2025-09-22,6,96,high,0.448817,0.0,0.0,74.898564,84.799465,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 6 day(s), with expected daily energy between 74.9 and 84.8 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--021,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-24,2025-09-24,1,89,high,0.448817,0.0,0.0,82.389318,82.389318,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 82.4 and 82.4 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--022,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-26,2025-09-27,2,92,high,0.448817,0.0,0.0,36.838891,79.018703,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 2 day(s), with expected daily energy between 36.8 and 79.0 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--023,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-09-30,2025-09-30,1,87,high,0.448817,0.0,0.0,49.123009,49.123009,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 49.1 and 49.1 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
FRONIUS-ab8e0174-0a82-4a59-ac40--024,SW29-8-11-w4,Symo Advanced 24.0-3 480 (1),offline_or_near_zero,2025-10-03,2025-10-03,1,86,high,0.448817,0.0,0.0,45.545939,45.545939,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 45.5 and 45.5 kWh.",fronius_SW29-8-11-w4__ab8e0174-0a82-4a59-ac40-c1483f459dd3.csv
