site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,Symo Advanced 24.0-3 480 (1)__rated_kw,Symo Advanced 24.0-3 480 (1)__daily_energy_kwh,Symo Advanced 24.0-3 480 (1)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2)__rated_kw,Symo Advanced 24.0-3 480 (2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2)__relative_specific_yield_vs_site_avg
SW29-8-11-w4,2024-07-15,Normal,374.34,,,,24.0,167.43,6.97625,0.894534,24.0,206.91,8.62125,1.105466
SW29-8-11-w4,2024-07-16,Normal,376.46,,,,24.0,170.51,7.104583,0.90586,24.0,205.95,8.58125,1.09414
SW29-8-11-w4,2024-07-17,Normal,386.61,,,,24.0,174.5,7.270833,0.902719,24.0,212.11,8.837917,1.097281
SW29-8-11-w4,2024-07-18,Normal,244.16,,,,24.0,106.07,4.419583,0.868856,24.0,138.09,5.75375,1.131144
SW29-8-11-w4,2024-07-19,Normal,381.44,,,,24.0,169.81,7.075417,0.890363,24.0,211.63,8.817917,1.109637
SW29-8-11-w4,2024-07-20,Normal,374.02,,,,24.0,166.58,6.940833,0.890755,24.0,207.44,8.643333,1.109245
SW29-8-11-w4,2024-07-21,Normal,359.77,,,,24.0,158.76,6.615,0.882564,24.0,201.01,8.375417,1.117436
SW29-8-11-w4,2024-07-22,Normal,307.09,,,,24.0,129.33,5.38875,0.842294,24.0,177.76,7.406667,1.157706
SW29-8-11-w4,2024-07-23,Normal,361.45,,,,24.0,159.44,6.643333,0.882224,24.0,202.01,8.417083,1.117776
SW29-8-11-w4,2024-07-24,Normal,368.11,,,,24.0,163.19,6.799583,0.886637,24.0,204.92,8.538333,1.113363
SW29-8-11-w4,2024-07-25,offline_or_near_zero,179.88,FRONIUS-ab8e0174-0a82-4a59-ac40--001,Symo Advanced 24.0-3 480 (1),,24.0,0.9,0.0375,0.010007,24.0,178.98,7.4575,1.989993
