site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,1811450248060005__rated_kw,1811450248060005__daily_energy_kwh,1811450248060005__specific_yield_kwh_per_kw,1811450248060005__relative_specific_yield_vs_site_avg,40130B1248129102__rated_kw,40130B1248129102__daily_energy_kwh,40130B1248129102__specific_yield_kwh_per_kw,40130B1248129102__relative_specific_yield_vs_site_avg
EGS Site 1 SW03 5616,2025-09-29,Normal,1183.7,,,,40.0,318.2,7.955,0.957857,100.0,865.5,8.655,1.042143
EGS Site 1 SW03 5616,2025-09-30,Normal,853.0,,,,40.0,212.1,5.3025,0.90552,100.0,640.9,6.409,1.09448
EGS Site 1 SW03 5616,2025-10-01,Normal,1095.9,,,,40.0,296.1,7.4025,0.961332,100.0,799.8,7.998,1.038668
EGS Site 1 SW03 5616,2025-10-02,Normal,1049.2,,,,40.0,270.3,6.7575,0.929089,100.0,778.9,7.789,1.070911
EGS Site 1 SW03 5616,2025-10-03,Normal,600.1,,,,40.0,145.2,3.63,0.887639,100.0,454.9,4.549,1.112361
EGS Site 1 SW03 5616,2025-10-04,Normal,296.6,,,,40.0,69.0,1.725,0.862284,100.0,227.6,2.276,1.137716
EGS Site 1 SW03 5616,2025-10-05,Normal,1061.3,,,,40.0,322.0,8.05,1.042544,100.0,739.3,7.393,0.957456
EGS Site 1 SW03 5616,2025-10-06,Normal,980.6,,,,40.0,273.2,6.83,0.982451,100.0,707.4,7.074,1.017549
EGS Site 1 SW03 5616,2025-10-07,Normal,1177.4,,,,40.0,325.5,8.1375,0.977096,100.0,851.9,8.519,1.022904
EGS Site 1 SW03 5616,2025-10-08,Normal,1150.9,,,,40.0,324.3,8.1075,0.99032,100.0,826.6,8.266,1.00968
EGS Site 1 SW03 5616,2025-10-09,offline_or_near_zero,237.9,SOLIS-1298491919450216523-001,40130B1248129102,,40.0,237.9,5.9475,2.0,100.0,0.0,0.0,0.0
EGS Site 1 SW03 5616,2025-10-10,Normal,1172.5,,,,40.0,318.0,7.95,0.963928,100.0,854.5,8.545,1.036072
EGS Site 1 SW03 5616,2025-10-11,Normal,824.2,,,,40.0,223.8,5.595,0.964738,100.0,600.4,6.004,1.035262
EGS Site 1 SW03 5616,2025-10-12,Normal,241.8,,,,40.0,56.0,1.4,0.859423,100.0,185.8,1.858,1.140577
EGS Site 1 SW03 5616,2025-10-13,Normal,732.5,,,,40.0,195.4,4.885,0.952613,100.0,537.1,5.371,1.047387
EGS Site 1 SW03 5616,2025-10-14,Normal,317.8,,,,40.0,74.0,1.85,0.862873,100.0,243.8,2.438,1.137127
EGS Site 1 SW03 5616,2025-10-15,Normal,852.6,,,,40.0,231.4,5.785,0.964408,100.0,621.2,6.212,1.035592
EGS Site 1 SW03 5616,,Omitted,,,,4,,,,,,,,
EGS Site 1 SW03 5616,2025-10-20,Normal,672.2,,,,40.0,204.9,5.1225,1.045888,100.0,467.3,4.673,0.954112
EGS Site 1 SW03 5616,2025-10-21,Normal,1049.7,,,,40.0,302.6,7.565,1.006252,100.0,747.1,7.471,0.993748
EGS Site 1 SW03 5616,2025-10-22,Normal,1093.7,,,,40.0,304.7,7.6175,0.982428,100.0,789.0,7.89,1.017572
EGS Site 1 SW03 5616,2025-10-23,site_missing_data,751.4,SOLIS-1298491919450216523-002,ALL_INVERTERS,,40.0,0.0,0.0,,100.0,0.0,0.0,
EGS Site 1 SW03 5616,2025-10-24,Normal,774.0,,,,40.0,201.4,5.035,0.935787,100.0,572.6,5.726,1.064213
EGS Site 1 SW03 5616,2025-10-25,Normal,677.7,,,,40.0,193.3,4.8325,0.998812,100.0,484.4,4.844,1.001188
EGS Site 1 SW03 5616,2025-10-26,Normal,906.5,,,,40.0,287.8,7.195,1.075325,100.0,618.7,6.187,0.924675
EGS Site 1 SW03 5616,2025-10-27,Normal,728.8,,,,40.0,198.5,4.9625,0.966831,100.0,530.3,5.303,1.033169
EGS Site 1 SW03 5616,2025-10-28,Normal,981.0,,,,40.0,296.3,7.4075,1.039321,100.0,684.7,6.847,0.960679
EGS Site 1 SW03 5616,2025-10-29,Normal,666.2,,,,40.0,203.0,5.075,1.045637,100.0,463.2,4.632,0.954363
EGS Site 1 SW03 5616,2025-10-30,Normal,484.1,,,,40.0,131.0,3.275,0.962386,100.0,353.1,3.531,1.037614
EGS Site 1 SW03 5616,2025-10-31,Normal,926.6,,,,40.0,259.4,6.485,0.985787,100.0,667.2,6.672,1.014213
EGS Site 1 SW03 5616,2025-11-01,Normal,411.5,,,,40.0,103.1,2.5775,0.910536,100.0,308.4,3.084,1.089464
EGS Site 1 SW03 5616,2025-11-02,Normal,894.4,,,,40.0,274.3,6.8575,1.050274,100.0,620.1,6.201,0.949726
