site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,4804040241200005__rated_kw,4804040241200005__daily_energy_kwh,4804040241200005__specific_yield_kwh_per_kw,4804040241200005__relative_specific_yield_vs_site_avg,4804040241200012__rated_kw,4804040241200012__daily_energy_kwh,4804040241200012__specific_yield_kwh_per_kw,4804040241200012__relative_specific_yield_vs_site_avg,4804040241200032__rated_kw,4804040241200032__daily_energy_kwh,4804040241200032__specific_yield_kwh_per_kw,4804040241200032__relative_specific_yield_vs_site_avg,4804040241200044__rated_kw,4804040241200044__daily_energy_kwh,4804040241200044__specific_yield_kwh_per_kw,4804040241200044__relative_specific_yield_vs_site_avg
Harker Arena,2025-03-16,Normal,11.7,,,,6.0,3.2,0.533333,1.094017,6.0,2.9,0.483333,0.991453,6.0,2.8,0.466667,0.957265,6.0,2.8,0.466667,0.957265
Harker Arena,2025-03-17,Normal,132.7,,,,6.0,33.7,5.616667,1.015825,6.0,33.2,5.533333,1.000754,6.0,32.6,5.433333,0.982668,6.0,33.2,5.533333,1.000754
Harker Arena,2025-03-18,Normal,87.3,,,,6.0,22.0,3.666667,1.008018,6.0,21.9,3.65,1.003436,6.0,21.7,3.616667,0.994273,6.0,21.7,3.616667,0.994273
Harker Arena,2025-03-19,Normal,169.7,,,,6.0,43.2,7.2,1.018268,6.0,43.4,7.233333,1.022982,6.0,41.8,6.966667,0.985268,6.0,41.3,6.883333,0.973483
Harker Arena,2025-03-20,Normal,95.5,,,,6.0,24.1,4.016667,1.009424,6.0,23.5,3.916667,0.984293,6.0,23.9,3.983333,1.001047,6.0,24.0,4.0,1.005236
Harker Arena,2025-03-21,Normal,155.2,,,,6.0,39.4,6.566667,1.015464,6.0,40.2,6.7,1.036082,6.0,38.0,6.333333,0.979381,6.0,37.6,6.266667,0.969072
Harker Arena,2025-03-22,Normal,109.9,,,,6.0,27.8,4.633333,1.011829,6.0,28.0,4.666667,1.019108,6.0,27.1,4.516667,0.986351,6.0,27.0,4.5,0.982712
Harker Arena,2025-03-23,Normal,102.0,,,,6.0,25.8,4.3,1.011765,6.0,25.3,4.216667,0.992157,6.0,25.4,4.233333,0.996078,6.0,25.5,4.25,1.0
Harker Arena,2025-03-24,Normal,155.9,,,,6.0,39.5,6.583333,1.01347,6.0,40.3,6.716667,1.033996,6.0,38.3,6.383333,0.982681,6.0,37.8,6.3,0.969852
Harker Arena,2025-03-25,Normal,96.7,,,,6.0,24.3,4.05,1.005171,6.0,24.0,4.0,0.992761,6.0,24.1,4.016667,0.996898,6.0,24.3,4.05,1.005171
Harker Arena,2025-03-26,site_missing_data,109.9,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-03-27,site_missing_data,105.95,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-03-28,site_missing_data,109.9,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-03-29,site_missing_data,105.95,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-03-30,site_missing_data,102.0,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-03-31,site_missing_data,126.3,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-01,site_missing_data,142.2,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-02,site_missing_data,179.6,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-03,site_missing_data,171.5,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-04,site_missing_data,179.6,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-05,site_missing_data,171.5,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-06,site_missing_data,167.2,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-07,site_missing_data,171.5,SOLIS-1298491919449775028-001,ALL_INVERTERS,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,6.0,0.0,0.0,
Harker Arena,2025-04-08,Normal,187.7,,,,6.0,47.6,7.933333,1.014385,6.0,47.8,7.966667,1.018647,6.0,46.3,7.716667,0.986681,6.0,46.0,7.666667,0.980288
Harker Arena,2025-04-09,Normal,171.5,,,,6.0,43.5,7.25,1.014577,6.0,44.3,7.383333,1.033236,6.0,42.1,7.016667,0.981924,6.0,41.6,6.933333,0.970262
Harker Arena,2025-04-10,Normal,162.9,,,,6.0,41.3,6.883333,1.014119,6.0,41.6,6.933333,1.021486,6.0,40.1,6.683333,0.984653,6.0,39.9,6.65,0.979742
Harker Arena,2025-04-11,Normal,188.3,,,,6.0,47.9,7.983333,1.017525,6.0,49.0,8.166667,1.040892,6.0,46.0,7.666667,0.977164,6.0,45.4,7.566667,0.964418
Harker Arena,2025-04-12,Normal,155.3,,,,6.0,39.3,6.55,1.012234,6.0,40.3,6.716667,1.037991,6.0,38.0,6.333333,0.978751,6.0,37.7,6.283333,0.971024
Harker Arena,2025-04-13,Normal,161.5,,,,6.0,41.1,6.85,1.017957,6.0,40.9,6.816667,1.013003,6.0,39.9,6.65,0.988235,6.0,39.6,6.6,0.980805
Harker Arena,2025-04-14,Normal,189.4,,,,6.0,48.1,8.016667,1.015839,6.0,48.7,8.116667,1.028511,6.0,46.5,7.75,0.982049,6.0,46.1,7.683333,0.973601
Harker Arena,2025-04-15,Normal,195.3,,,,6.0,49.8,8.3,1.019969,6.0,50.0,8.333333,1.024066,6.0,47.9,7.983333,0.981055,6.0,47.6,7.933333,0.97491
Harker Arena,2025-04-16,Normal,84.3,,,,6.0,21.3,3.55,1.010676,6.0,20.8,3.466667,0.986951,6.0,21.1,3.516667,1.001186,6.0,21.1,3.516667,1.001186
Harker Arena,2025-04-17,Normal,134.9,,,,6.0,34.1,5.683333,1.011119,6.0,34.1,5.683333,1.011119,6.0,33.4,5.566667,0.990363,6.0,33.3,5.55,0.987398
Harker Arena,,Omitted,,,,215,,,,,,,,,,,,,,,,
Harker Arena,2025-11-19,Normal,120.7,,,,6.0,30.3,5.05,1.004143,6.0,29.4,4.9,0.974316,6.0,30.4,5.066667,1.007457,6.0,30.6,5.1,1.014085
