site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,181147023C150008__rated_kw,181147023C150008__daily_energy_kwh,181147023C150008__specific_yield_kwh_per_kw,181147023C150008__relative_specific_yield_vs_site_avg,181147023C150012__rated_kw,181147023C150012__daily_energy_kwh,181147023C150012__specific_yield_kwh_per_kw,181147023C150012__relative_specific_yield_vs_site_avg
Hutterville Layer Barn,2025-08-04,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-05,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-06,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-07,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-08,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-09,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-10,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-11,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-12,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-13,Normal,,,,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-08-14,offline_or_near_zero,169.7,SOLIS-1298491919450210825-G001,181147023C150012,60.0,169.7,2.828333,2.0,60.0,0.0,0.0,0.0
Hutterville Layer Barn,2025-08-15,Normal,711.3,,,60.0,345.0,5.75,0.970055,60.0,366.3,6.105,1.029945
Hutterville Layer Barn,2025-08-16,Normal,794.5,,,60.0,394.3,6.571667,0.992574,60.0,400.2,6.67,1.007426
Hutterville Layer Barn,2025-08-17,Normal,978.5,,,60.0,485.0,8.083333,0.991313,60.0,493.5,8.225,1.008687
Hutterville Layer Barn,2025-08-18,Normal,994.7,,,60.0,493.4,8.223333,0.992058,60.0,501.3,8.355,1.007942
Hutterville Layer Barn,2025-08-19,Normal,1010.0,,,60.0,502.1,8.368333,0.994257,60.0,507.9,8.465,1.005743
Hutterville Layer Barn,,Marker - 32 additional day(s) without incident,,,,,,,,,,,
Hutterville Layer Barn,2025-09-21,Normal,455.2,,,60.0,222.5,3.708333,0.977592,60.0,232.7,3.878333,1.022408
Hutterville Layer Barn,2025-09-22,Normal,786.7,,,60.0,388.0,6.466667,0.986399,60.0,398.7,6.645,1.013601
Hutterville Layer Barn,2025-09-23,Normal,956.4,,,60.0,474.0,7.9,0.991217,60.0,482.4,8.04,1.008783
Hutterville Layer Barn,2025-09-24,Normal,952.5,,,60.0,470.2,7.836667,0.987297,60.0,482.3,8.038333,1.012703
Hutterville Layer Barn,2025-09-25,Normal,952.0,,,60.0,469.9,7.831667,0.987185,60.0,482.1,8.035,1.012815
Hutterville Layer Barn,2025-09-26,site_missing_data,930.0,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-09-27,site_missing_data,860.3,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-09-28,site_missing_data,786.7,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-09-29,site_missing_data,663.9,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,322.5,5.375,0.971532,60.0,341.4,5.69,1.028468
Hutterville Layer Barn,2025-09-30,site_missing_data,280.6,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,128.6,2.143333,0.916607,60.0,152.0,2.533333,1.083393
Hutterville Layer Barn,2025-10-01,site_missing_data,911.95,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-10-02,site_missing_data,903.9,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-10-03,site_missing_data,898.15,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-10-04,site_missing_data,897.0,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-10-05,site_missing_data,865.6,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-10-06,site_missing_data,834.2,SOLIS-1298491919450210825-G002,ALL_INVERTERS,60.0,0.0,0.0,,60.0,0.0,0.0,
Hutterville Layer Barn,2025-10-07,Normal,908.5,,,60.0,445.6,7.426667,0.980958,60.0,462.9,7.715,1.019042
Hutterville Layer Barn,2025-10-08,Normal,915.4,,,60.0,448.0,7.466667,0.978807,60.0,467.4,7.79,1.021193
Hutterville Layer Barn,2025-10-09,Normal,899.3,,,60.0,441.8,7.363333,0.982542,60.0,457.5,7.625,1.017458
Hutterville Layer Barn,2025-10-10,Normal,897.0,,,60.0,440.6,7.343333,0.982386,60.0,456.4,7.606667,1.017614
