site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,4804040243030101__rated_kw,4804040243030101__daily_energy_kwh,4804040243030101__specific_yield_kwh_per_kw,4804040243030101__relative_specific_yield_vs_site_avg,4804040243030117__rated_kw,4804040243030117__daily_energy_kwh,4804040243030117__specific_yield_kwh_per_kw,4804040243030117__relative_specific_yield_vs_site_avg
Richard,2025-01-30,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-01-31,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-01,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-02,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-03,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-04,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-05,Normal,0.1,,,6.0,0.0,0.0,0.0,6.0,0.1,0.016667,2.0
Richard,2025-02-06,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-07,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-08,Normal,,,,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-09,site_missing_data,14.25,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-10,site_missing_data,22.4,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-11,site_missing_data,33.5,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-12,site_missing_data,44.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-13,site_missing_data,46.9,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2025-02-14,site_missing_data,6.1,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,2.0,0.333333,0.655738,6.0,4.1,0.683333,1.344262
Richard,2025-02-15,site_missing_data,49.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,18.5,3.083333,0.745968,6.0,31.1,5.183333,1.254032
Richard,2025-02-16,site_missing_data,22.4,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,7.8,1.3,0.696429,6.0,14.6,2.433333,1.303571
Richard,2025-02-17,site_missing_data,46.9,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,17.7,2.95,0.754797,6.0,29.2,4.866667,1.245203
Richard,2025-02-18,site_missing_data,44.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,15.9,2.65,0.713004,6.0,28.7,4.783333,1.286996
Richard,2025-02-19,site_missing_data,55.1,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,20.7,3.45,0.751361,6.0,34.4,5.733333,1.248639
Richard,2025-02-20,site_missing_data,58.3,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,20.3,3.383333,0.696398,6.0,38.0,6.333333,1.303602
Richard,2025-02-21,site_missing_data,19.9,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,6.4,1.066667,0.643216,6.0,13.5,2.25,1.356784
Richard,2025-02-22,site_missing_data,52.0,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,17.4,2.9,0.669231,6.0,34.6,5.766667,1.330769
Richard,2025-02-23,site_missing_data,53.3,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,17.9,2.983333,0.67167,6.0,35.4,5.9,1.32833
Richard,2025-02-24,site_missing_data,49.8,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,16.8,2.8,0.674699,6.0,33.0,5.5,1.325301
Richard,2025-02-25,site_missing_data,54.8,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,18.5,3.083333,0.675182,6.0,36.3,6.05,1.324818
Richard,2025-02-26,site_missing_data,52.3,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,17.6,2.933333,0.67304,6.0,34.7,5.783333,1.32696
Richard,2025-02-27,site_missing_data,33.3,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,11.1,1.85,0.666667,6.0,22.2,3.7,1.333333
Richard,2025-02-28,site_missing_data,48.4,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,16.2,2.7,0.669421,6.0,32.2,5.366667,1.330579
Richard,2025-03-01,site_missing_data,59.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,20.0,3.333333,0.671141,6.0,39.6,6.6,1.328859
Richard,2025-03-02,site_missing_data,59.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,20.0,3.333333,0.671141,6.0,39.6,6.6,1.328859
Richard,2025-03-03,site_missing_data,10.8,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,3.5,0.583333,0.648148,6.0,7.3,1.216667,1.351852
Richard,2025-03-04,site_missing_data,54.5,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,18.1,3.016667,0.66422,6.0,36.4,6.066667,1.33578
Richard,2025-03-05,site_missing_data,21.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,7.2,1.2,0.666667,6.0,14.4,2.4,1.333333
Richard,2025-03-06,site_missing_data,46.0,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,15.4,2.566667,0.669565,6.0,30.6,5.1,1.330435
Richard,2025-03-07,site_missing_data,62.1,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,20.9,3.483333,0.673108,6.0,41.2,6.866667,1.326892
Richard,2025-03-08,site_missing_data,36.1,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,12.0,2.0,0.66482,6.0,24.1,4.016667,1.33518
Richard,2025-03-09,site_missing_data,39.6,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,13.2,2.2,0.666667,6.0,26.4,4.4,1.333333
Richard,2025-03-10,site_missing_data,47.7,SOLIS-1298491919449848959-G001,"4804040243030101, ALL_INVERTERS",6.0,16.3,2.716667,0.683438,6.0,31.4,5.233333,1.316562
Richard,2025-03-11,Normal,53.0,,,6.0,22.8,3.8,0.860377,6.0,30.2,5.033333,1.139623
Richard,2025-03-12,Normal,62.2,,,6.0,31.0,5.166667,0.996785,6.0,31.2,5.2,1.003215
Richard,2025-03-13,Normal,48.2,,,6.0,24.1,4.016667,1.0,6.0,24.1,4.016667,1.0
Richard,2025-03-14,Normal,59.4,,,6.0,29.7,4.95,1.0,6.0,29.7,4.95,1.0
Richard,2025-03-15,Normal,26.1,,,6.0,13.1,2.183333,1.003831,6.0,13.0,2.166667,0.996169
Richard,,Marker - 290 additional day(s) without incident,,,,,,,,,,,
Richard,2025-12-31,Normal,33.5,,,6.0,16.8,2.8,1.002985,6.0,16.7,2.783333,0.997015
Richard,2026-01-01,Normal,15.4,,,6.0,7.7,1.283333,1.0,6.0,7.7,1.283333,1.0
Richard,2026-01-02,Normal,14.4,,,6.0,7.2,1.2,1.0,6.0,7.2,1.2,1.0
Richard,2026-01-03,Normal,19.6,,,6.0,9.8,1.633333,1.0,6.0,9.8,1.633333,1.0
Richard,2026-01-04,Normal,23.2,,,6.0,11.6,1.933333,1.0,6.0,11.6,1.933333,1.0
Richard,2026-01-05,site_missing_data,21.95,SOLIS-1298491919449848959-G002,ALL_INVERTERS,6.0,0.0,0.0,,6.0,0.0,0.0,
Richard,2026-01-06,Normal,14.3,,,6.0,7.2,1.2,1.006993,6.0,7.1,1.183333,0.993007
Richard,2026-01-07,Normal,50.1,,,6.0,25.1,4.183333,1.001996,6.0,25.0,4.166667,0.998004
Richard,2026-01-08,Normal,53.2,,,6.0,26.7,4.45,1.003759,6.0,26.5,4.416667,0.996241
Richard,2026-01-09,Normal,32.6,,,6.0,16.3,2.716667,1.0,6.0,16.3,2.716667,1.0
Richard,2026-01-10,Normal,20.7,,,6.0,10.4,1.733333,1.004831,6.0,10.3,1.716667,0.995169
Richard,,Marker - 60 additional day(s) without incident,,,,,,,,,,,
