provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
fronius,2024-05-01,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,17.22,,
fronius,2024-05-02,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,27.46,,
fronius,2024-05-03,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,51.32,,
fronius,2024-05-04,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,64.75,,
fronius,2024-05-05,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,23.16,,
fronius,2024-05-06,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,46.27,,
fronius,2024-05-07,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,6.52,,
fronius,2024-05-08,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,14.41,,
fronius,2024-05-09,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,66.92,,
fronius,2024-05-10,0c51e987-196b-4c03-9c5b-e82e58ca3c13,Dan Skwarek,2876c8ff-8540-4a8d-b652-b0d60130488e,Primo 7.6-1 208-240 (1),,,7.6,parsed_from_inverter_name,66.76,,
