provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
solis,2025-05-29,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,170.5,5.17,0.0
solis,2025-05-30,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,177.7,5.38,53.31
solis,2025-05-31,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,145.4,4.41,43.62
solis,2025-06-01,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,177.7,5.38,53.31
solis,2025-06-02,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,110.6,3.35,33.18
solis,2025-06-03,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,127.1,3.85,38.13
solis,2025-06-04,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,173.7,5.26,52.11
solis,2025-06-05,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,180.3,5.46,54.09
solis,2025-06-06,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,148.0,4.48,44.4
solis,2025-06-07,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,93.0,2.82,27.9
solis,2025-06-08,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,171.1,5.18,51.33
solis,2025-06-09,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,174.2,5.28,52.26
solis,2025-06-10,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,170.7,5.17,51.21
solis,2025-06-11,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,156.4,4.74,46.92
solis,2025-06-12,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,51.1,1.55,15.33
solis,2025-06-13,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,147.8,4.48,44.34
solis,2025-06-14,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,165.4,5.01,49.62
solis,2025-06-15,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,153.5,4.65,46.05
solis,2025-06-16,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,175.5,5.32,52.65
solis,2025-06-17,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,174.8,5.3,52.44
solis,2025-06-18,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,158.0,4.79,47.4
solis,2025-06-19,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,170.8,5.18,51.24
solis,2025-06-20,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,35.0,1.06,10.5
solis,2025-07-11,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,168.5,5.11,50.55
solis,2025-07-12,1298491919450072923,Perry Farms SE7 Site 1 6005,1308675217949303116,1811430247210037,1811430247210037,1143,33.0,,163.4,4.95,49.02
