provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
solis,2025-02-05,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,0.1,0.02,0.01
solis,2025-02-05,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,0.0,0.0,0.0
solis,2025-02-14,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,4.1,0.68,0.406
solis,2025-02-14,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,2.0,0.33,0.198
solis,2025-02-15,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,31.1,5.18,3.079
solis,2025-02-15,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,18.5,3.08,1.832
solis,2025-02-16,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,14.6,2.43,1.445
solis,2025-02-16,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,7.8,1.3,0.772
solis,2025-02-17,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,29.2,4.87,2.891
solis,2025-02-17,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,17.7,2.95,1.752
solis,2025-02-18,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,28.7,4.78,2.841
solis,2025-02-18,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,15.9,2.65,1.574
solis,2025-02-19,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,34.4,5.73,3.406
solis,2025-02-19,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.7,3.45,2.049
solis,2025-02-20,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,38.0,6.33,3.762
solis,2025-02-20,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.3,3.38,2.01
solis,2025-02-21,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,13.5,2.25,1.337
solis,2025-02-21,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,6.4,1.07,0.634
solis,2025-02-22,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,34.6,5.77,3.425
solis,2025-02-22,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,17.4,2.9,1.723
solis,2025-02-23,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,35.4,5.9,3.505
solis,2025-02-23,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,17.9,2.98,1.772
solis,2025-02-24,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,33.0,5.5,3.267
solis,2025-02-24,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,16.8,2.8,1.663
solis,2025-02-25,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,36.3,6.05,3.594
solis,2025-02-25,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,18.5,3.08,1.832
solis,2025-02-26,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,34.7,5.78,3.435
solis,2025-02-26,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,17.6,2.93,1.742
solis,2025-02-27,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,22.2,3.7,2.198
solis,2025-02-27,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,11.1,1.85,1.099
solis,2025-02-28,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,32.2,5.37,3.188
solis,2025-02-28,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,16.2,2.7,1.604
solis,2025-03-01,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,39.6,6.6,3.92
solis,2025-03-01,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.0,3.33,1.98
solis,2025-03-02,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,39.6,6.6,3.92
solis,2025-03-02,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.0,3.33,1.98
solis,2025-03-03,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,7.3,1.22,0.723
solis,2025-03-03,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,3.5,0.58,0.347
solis,2025-03-04,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,36.4,6.07,3.604
solis,2025-03-04,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,18.1,3.02,1.792
solis,2025-03-05,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,14.4,2.4,1.426
solis,2025-03-05,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,7.2,1.2,0.713
solis,2025-03-06,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,30.6,5.1,3.029
solis,2025-03-06,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,15.4,2.57,1.525
solis,2025-03-07,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,41.2,6.87,4.079
solis,2025-03-07,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.9,3.48,2.069
solis,2025-03-08,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,24.1,4.02,2.386
solis,2025-03-08,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,12.0,2.0,1.188
solis,2025-03-09,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,26.4,4.4,2.614
solis,2025-03-09,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,13.2,2.2,1.307
solis,2025-03-10,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,31.4,5.23,3.109
solis,2025-03-10,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,16.3,2.72,1.614
solis,2025-03-11,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,30.2,5.03,2.99
solis,2025-03-11,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,22.8,3.8,2.257
solis,2025-03-12,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,31.2,5.2,3.089
solis,2025-03-12,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,31.0,5.17,3.069
solis,2025-03-13,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,24.1,4.02,2.386
solis,2025-03-13,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,24.1,4.02,2.386
solis,2025-03-14,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,29.7,4.95,2.94
solis,2025-03-14,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,29.7,4.95,2.94
solis,2025-03-15,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,13.0,2.17,1.287
solis,2025-03-15,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,13.1,2.18,1.297
solis,2025-03-16,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,3.5,0.58,0.347
solis,2025-03-16,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,2.8,0.47,0.277
solis,2025-03-17,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,32.0,5.33,3.168
solis,2025-03-17,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,30.9,5.15,3.059
solis,2025-03-18,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,23.6,3.93,2.336
solis,2025-03-18,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,23.5,3.92,2.327
solis,2025-03-19,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,39.7,6.62,3.93
solis,2025-03-19,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,39.6,6.6,3.92
solis,2025-03-20,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,21.2,3.53,2.099
solis,2025-03-20,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,21.2,3.53,2.099
solis,2025-03-21,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,42.2,7.03,4.178
solis,2025-03-21,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,42.2,7.03,4.178
solis,2025-03-22,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,27.6,4.6,2.732
solis,2025-03-22,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,27.5,4.58,2.723
solis,2025-03-23,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,19.1,3.18,1.891
solis,2025-03-23,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,19.0,3.17,1.881
solis,2025-03-24,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,39.7,6.62,3.93
solis,2025-03-24,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,39.7,6.62,3.93
solis,2025-03-25,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,20.2,3.37,2.0
solis,2025-03-25,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.1,3.35,1.99
solis,2025-03-26,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,30.3,5.05,3.0
solis,2025-03-26,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,30.0,5.0,2.97
solis,2025-03-27,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,15.9,2.65,1.574
solis,2025-03-27,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,15.8,2.63,1.564
solis,2025-03-28,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,11.6,1.93,1.148
solis,2025-03-28,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,11.4,1.9,1.129
solis,2025-03-29,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,8.2,1.37,0.812
solis,2025-03-29,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,8.3,1.38,0.822
solis,2025-03-30,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,15.2,2.53,1.505
solis,2025-03-30,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,15.2,2.53,1.505
solis,2025-03-31,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,32.9,5.48,3.257
solis,2025-03-31,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,32.7,5.45,3.237
solis,2025-04-01,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,40.5,6.75,4.01
solis,2025-04-01,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,40.3,6.72,3.99
solis,2025-04-02,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,6.4,1.07,0.634
solis,2025-04-02,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,6.3,1.05,0.624
solis,2025-04-03,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,35.1,5.85,3.475
solis,2025-04-03,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,34.3,5.72,3.396
solis,2025-04-04,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,49.0,8.17,4.851
solis,2025-04-04,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,48.9,8.15,4.841
solis,2025-04-05,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,47.8,7.97,4.732
solis,2025-04-05,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,47.7,7.95,4.722
solis,2025-04-06,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,47.4,7.9,4.693
solis,2025-04-06,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,47.3,7.88,4.683
solis,2025-04-07,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,22.9,3.82,2.267
solis,2025-04-07,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,22.9,3.82,2.267
solis,2025-04-08,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,40.3,6.72,3.99
solis,2025-04-08,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,40.4,6.73,4.0
solis,2025-04-09,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,44.9,7.48,4.445
solis,2025-04-09,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,44.9,7.48,4.445
solis,2025-04-10,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,36.0,6.0,3.564
solis,2025-04-10,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,35.7,5.95,3.534
solis,2025-04-11,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,48.7,8.12,4.821
solis,2025-04-11,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,48.7,8.12,4.821
solis,2025-04-12,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,35.4,5.9,3.505
solis,2025-04-12,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,35.1,5.85,3.475
solis,2025-04-13,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,43.0,7.17,4.257
solis,2025-04-13,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,41.5,6.92,4.109
solis,2025-04-14,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,47.7,7.95,4.722
solis,2025-04-14,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,47.4,7.9,4.693
solis,2025-04-15,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,47.5,7.92,4.703
solis,2025-04-15,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,47.5,7.92,4.703
solis,2025-04-16,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,20.0,3.33,1.98
solis,2025-04-16,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,19.8,3.3,1.96
solis,2025-04-17,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,34.0,5.67,3.366
solis,2025-04-17,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,33.9,5.65,3.356
solis,2025-04-18,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,48.3,8.05,4.782
solis,2025-04-18,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,48.3,8.05,4.782
solis,2025-04-19,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,23.7,3.95,2.346
solis,2025-04-19,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,23.8,3.97,2.356
solis,2025-04-20,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,10.1,1.68,1.0
solis,2025-04-20,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,9.9,1.65,0.98
solis,2025-04-21,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,16.1,2.68,1.594
solis,2025-04-21,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,16.0,2.67,1.584
solis,2025-04-22,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,32.8,5.47,3.247
solis,2025-04-22,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,32.8,5.47,3.247
solis,2025-04-23,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,47.4,7.9,4.693
solis,2025-04-23,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,47.0,7.83,4.653
solis,2025-04-24,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,50.4,8.4,4.99
solis,2025-04-24,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,50.0,8.33,4.95
solis,2025-04-25,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,51.0,8.5,5.049
solis,2025-04-25,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,50.7,8.45,5.019
solis,2025-04-26,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,50.0,8.33,4.95
solis,2025-04-26,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,49.5,8.25,4.901
solis,2025-04-27,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,20.7,3.45,2.049
solis,2025-04-27,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.5,3.42,2.03
solis,2025-04-28,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,47.9,7.98,4.742
solis,2025-04-28,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,47.8,7.97,4.732
solis,2025-04-29,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,26.8,4.47,2.653
solis,2025-04-29,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,26.6,4.43,2.633
solis,2025-04-30,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,40.9,6.82,4.049
solis,2025-04-30,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,40.6,6.77,4.019
solis,2025-05-01,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,50.5,8.42,5.0
solis,2025-05-01,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,50.2,8.37,4.97
solis,2025-05-02,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,50.4,8.4,4.99
solis,2025-05-02,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,50.3,8.38,4.98
solis,2025-05-03,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,49.3,8.22,4.881
solis,2025-05-03,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,49.0,8.17,4.851
solis,2025-05-04,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,20.8,3.47,2.059
solis,2025-05-04,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,20.6,3.43,2.039
solis,2025-05-05,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,46.8,7.8,4.633
solis,2025-05-05,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,46.5,7.75,4.604
solis,2025-05-06,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,51.9,8.65,5.138
solis,2025-05-06,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,51.6,8.6,5.108
solis,2025-05-07,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,51.2,8.53,5.069
solis,2025-05-07,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,51.0,8.5,5.049
solis,2025-05-08,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,51.3,8.55,5.079
solis,2025-05-08,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,51.0,8.5,5.049
solis,2025-05-09,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,49.9,8.32,4.94
solis,2025-05-09,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,49.5,8.25,4.901
solis,2025-05-10,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,45.3,7.55,4.485
solis,2025-05-10,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,44.9,7.48,4.445
solis,2025-05-11,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,24.9,4.15,2.465
solis,2025-05-11,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,24.8,4.13,2.455
solis,2025-05-12,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,45.3,7.55,4.485
solis,2025-05-12,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,45.3,7.55,4.485
solis,2025-05-13,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,32.5,5.42,3.218
solis,2025-05-13,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,32.3,5.38,3.198
solis,2025-05-14,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,42.6,7.1,4.217
solis,2025-05-14,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,42.3,7.05,4.188
solis,2025-05-15,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,13.9,2.32,1.376
solis,2025-05-15,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,13.8,2.3,1.366
solis,2025-05-16,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,32.2,5.37,3.188
solis,2025-05-16,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,31.8,5.3,3.148
solis,2025-05-17,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,41.7,6.95,4.128
solis,2025-05-17,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,41.5,6.92,4.109
solis,2025-05-18,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,14.7,2.45,1.455
solis,2025-05-18,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,14.5,2.42,1.436
solis,2025-05-19,1298491919449848959,Richard,1308675217948936492,4804040243030117,4804040243030117,0404,6.0,,48.2,8.03,4.772
solis,2025-05-19,1298491919449848959,Richard,1308675217948936777,4804040243030101,4804040243030101,0404,6.0,,48.3,8.05,4.782
