provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
fronius,2024-05-01,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),fc5ec049-e0c5-4028-9ffe-ae040131554a,Symo  24.0-3 480 (1),,,24.0,parsed_from_inverter_name,73.11,,
fronius,2024-05-01,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),720c11c1-519e-4635-aa64-ae0401315554,Symo  24.0-3 480 (5),,,24.0,parsed_from_inverter_name,73.54,,
fronius,2024-05-01,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),5e62605a-bcfd-40e2-9800-ae0401315562,Symo  24.0-3 480 (6),,,24.0,parsed_from_inverter_name,72.63,,
fronius,2024-05-01,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),9e930636-d5a2-4a25-8fd9-ae0401315583,Symo  24.0-3 480 (8),,,24.0,parsed_from_inverter_name,73.5,,
fronius,2024-05-01,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),65ec44a7-931c-4a8a-a211-ae0401315570,Symo 24.0-3 480 (7),,,24.0,parsed_from_inverter_name,73.01,,
fronius,2024-05-02,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),fc5ec049-e0c5-4028-9ffe-ae040131554a,Symo  24.0-3 480 (1),,,24.0,parsed_from_inverter_name,71.81,,
fronius,2024-05-02,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),720c11c1-519e-4635-aa64-ae0401315554,Symo  24.0-3 480 (5),,,24.0,parsed_from_inverter_name,72.17,,
fronius,2024-05-02,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),5e62605a-bcfd-40e2-9800-ae0401315562,Symo  24.0-3 480 (6),,,24.0,parsed_from_inverter_name,70.76,,
fronius,2024-05-02,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),9e930636-d5a2-4a25-8fd9-ae0401315583,Symo  24.0-3 480 (8),,,24.0,parsed_from_inverter_name,71.88,,
fronius,2024-05-02,a93e4e65-6f50-4a8f-a7e3-99abdfcf11e9,Penner Farms - 33-8-13 pump (site 3),65ec44a7-931c-4a8a-a211-ae0401315570,Symo 24.0-3 480 (7),,,24.0,parsed_from_inverter_name,71.81,,
