date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-09-15,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,68.0,0.68,20.4,68.0,kWh,1
2025-09-16,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,553.1,5.53,165.93,553.1,kWh,1
2025-09-17,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,747.0,7.47,224.1,747.0,kWh,1
2025-09-18,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,749.2,7.49,224.76,749.2,kWh,1
2025-09-19,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,727.3,7.27,218.19,727.3,kWh,1
2025-09-20,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,748.9,7.49,224.67,748.9,kWh,1
2025-09-21,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,410.1,4.1,123.03,410.1,kWh,1
2025-09-22,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,726.8,7.27,218.04,726.8,kWh,1
2025-09-23,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,755.2,7.55,226.56,755.2,kWh,1
2025-09-24,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,759.6,7.6,227.88,759.6,kWh,1
2025-09-25,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,750.0,7.5,225.0,750.0,kWh,1
2025-09-26,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,754.1,7.54,226.23,754.1,kWh,1
2025-09-27,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,297.2,2.97,89.16,297.2,kWh,1
2025-09-28,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,666.6,6.67,199.98,666.6,kWh,1
2025-09-29,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,402.1,4.02,120.63,402.1,kWh,1
2025-09-30,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,430.4,4.3,129.12,430.4,kWh,1
2025-10-01,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,359.5,3.6,107.85,359.5,kWh,1
2025-10-02,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,253.8,2.54,76.14,253.8,kWh,1
2025-10-03,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,678.6,6.79,203.58,678.6,kWh,1
2025-10-04,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,160.2,1.6,48.06,160.2,kWh,1
2025-10-05,1298491919450253410,Deerfield Irrigation,1308675217949337393,40130B1248129079,130B,100.0,655.4,6.55,196.62,655.4,kWh,1
