date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2024-12-10,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,44.9,0.6,13.47,44.9,kWh,1
2024-12-11,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,52.9,0.71,15.87,52.9,kWh,1
2024-12-12,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,306.3,4.08,91.89,306.3,kWh,1
2024-12-13,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,297.0,3.96,89.1,297.0,kWh,1
2024-12-14,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,150.5,2.01,45.15,150.5,kWh,1
2024-12-15,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,175.0,2.33,52.5,175.0,kWh,1
2024-12-16,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,65.7,0.88,19.71,65.7,kWh,1
2024-12-17,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,127.3,1.7,38.19,127.3,kWh,1
2024-12-18,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,83.8,1.12,25.14,83.8,kWh,1
2024-12-19,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,337.6,4.5,101.28,337.6,kWh,1
2024-12-20,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,436.6,5.82,130.98,436.6,kWh,1
2024-12-21,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,292.3,3.9,87.69,292.3,kWh,1
2024-12-22,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,228.7,3.05,68.61,228.7,kWh,1
2024-12-23,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,299.9,4.0,89.97,299.9,kWh,1
2024-12-24,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,195.4,2.61,58.62,195.4,kWh,1
2024-12-25,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,431.6,5.75,129.48,431.6,kWh,1
2024-12-26,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,48.5,0.65,14.55,48.5,kWh,1
2024-12-27,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,269.5,3.59,80.85,269.5,kWh,1
2024-12-28,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,295.6,3.94,88.68,295.6,kWh,1
2024-12-29,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,60.3,0.8,18.09,60.3,kWh,1
2024-12-30,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,117.1,1.56,35.13,117.1,kWh,1
2024-12-31,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,31.1,0.41,9.33,31.1,kWh,1
2025-01-01,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,28.1,0.37,8.43,28.1,kWh,1
2025-01-02,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,84.6,1.13,25.38,84.6,kWh,1
2025-01-03,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,71.2,0.95,21.36,71.2,kWh,1
2025-01-04,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,166.7,2.22,50.01,166.7,kWh,1
2025-01-05,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,288.0,3.84,86.4,288.0,kWh,1
2025-01-06,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,141.9,1.89,42.57,141.9,kWh,1
2025-01-07,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,465.7,6.21,139.71,465.7,kWh,1
2025-01-08,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,127.5,1.7,38.25,127.5,kWh,1
2025-01-09,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,481.1,6.41,144.33,481.1,kWh,1
2025-01-10,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,116.4,1.55,34.92,116.4,kWh,1
2025-01-11,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,75.7,1.01,22.71,75.7,kWh,1
2025-01-12,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,36.2,0.48,10.86,36.2,kWh,1
2025-01-13,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,306.6,4.09,91.98,306.6,kWh,1
2025-01-14,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,254.0,3.39,76.2,254.0,kWh,1
2025-01-15,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,452.5,6.03,135.75,452.5,kWh,1
2025-01-16,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,373.1,4.97,111.93,373.1,kWh,1
2025-01-17,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,87.5,1.17,26.25,87.5,kWh,1
2025-01-18,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,415.9,5.55,124.77,415.9,kWh,1
2025-01-19,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,471.1,6.28,141.33,471.1,kWh,1
2025-01-20,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,466.6,6.22,139.98,466.6,kWh,1
2025-01-21,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,131.4,1.75,39.42,131.4,kWh,1
2025-01-22,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,125.7,1.68,37.71,125.7,kWh,1
2025-01-23,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,106.1,1.41,31.83,106.1,kWh,1
2025-01-24,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,170.8,2.28,51.24,170.8,kWh,1
2025-01-25,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,427.7,5.7,128.31,427.7,kWh,1
2025-01-26,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,521.6,6.95,156.48,521.6,kWh,1
2025-01-27,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,515.6,6.87,154.68,515.6,kWh,1
2025-01-28,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,485.5,6.47,145.65,485.5,kWh,1
2025-01-29,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,308.7,4.12,92.61,308.7,kWh,1
2025-01-30,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,353.1,4.71,105.93,353.1,kWh,1
2025-01-31,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,253.2,3.38,75.96,253.2,kWh,1
2025-02-01,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,72.0,0.96,21.6,72.0,kWh,1
2025-02-02,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,73.6,0.98,22.08,73.6,kWh,1
2025-02-03,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,67.8,0.9,20.34,67.8,kWh,1
2025-02-04,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,106.2,1.42,31.86,106.2,kWh,1
2025-02-05,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,449.4,5.99,134.82,449.4,kWh,1
2025-02-06,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,528.0,7.04,158.4,528.0,kWh,1
2025-02-07,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,394.5,5.26,118.35,394.5,kWh,1
2025-02-08,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,372.4,4.97,111.72,372.4,kWh,1
2025-02-09,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,264.8,3.53,79.44,264.8,kWh,1
2025-02-10,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,491.7,6.56,147.51,491.7,kWh,1
2025-02-11,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,387.3,5.16,116.19,387.3,kWh,1
2025-02-12,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,487.5,6.5,146.25,487.5,kWh,1
2025-02-13,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,552.7,7.37,165.81,552.7,kWh,1
2025-02-14,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,111.0,1.48,33.3,111.0,kWh,1
2025-02-15,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,116.0,1.55,34.8,116.0,kWh,1
2025-02-16,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,101.0,1.35,30.3,101.0,kWh,1
2025-02-17,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,197.9,2.64,59.37,197.9,kWh,1
2025-02-18,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,310.7,4.14,93.21,310.7,kWh,1
2025-02-19,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,304.3,4.06,91.29,304.3,kWh,1
2025-02-20,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,434.7,5.8,130.41,434.7,kWh,1
2025-02-21,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,427.1,5.69,128.13,427.1,kWh,1
2025-02-22,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,501.2,6.68,150.36,501.2,kWh,1
2025-02-23,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,451.5,6.02,135.45,451.5,kWh,1
2025-02-24,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,551.7,7.36,165.51,551.7,kWh,1
2025-02-25,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,590.5,7.87,177.15,590.5,kWh,1
2025-02-26,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,574.5,7.66,172.35,574.5,kWh,1
2025-02-27,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,402.5,5.37,120.75,402.5,kWh,1
2025-02-28,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,589.4,7.86,176.82,589.4,kWh,1
2025-03-01,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,592.5,7.9,177.75,592.5,kWh,1
2025-03-02,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,614.5,8.19,184.35,614.5,kWh,1
2025-03-03,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,146.3,1.95,43.89,146.3,kWh,1
2025-03-04,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,568.8,7.58,170.64,568.8,kWh,1
2025-03-05,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,475.2,6.34,142.56,475.2,kWh,1
2025-03-06,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,570.5,7.61,171.15,570.5,kWh,1
2025-03-07,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,615.0,8.2,184.5,615.0,kWh,1
2025-03-08,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,364.2,4.86,109.26,364.2,kWh,1
2025-03-09,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,266.1,3.55,79.83,266.1,kWh,1
2025-03-10,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,479.3,6.39,143.79,479.3,kWh,1
2025-03-11,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,485.6,6.47,145.68,485.6,kWh,1
2025-03-12,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,500.0,6.67,150.0,500.0,kWh,1
2025-03-13,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,244.8,3.26,73.44,244.8,kWh,1
2025-03-14,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,539.7,7.2,161.91,539.7,kWh,1
2025-03-15,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,200.8,2.68,60.24,200.8,kWh,1
2025-03-16,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,110.8,1.48,33.24,110.8,kWh,1
2025-03-17,1298491919449805502,G2G Farms,1308675217949090950,40130D1245290058,130D,75.0,507.8,6.77,152.34,507.8,kWh,1
