date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-08-14,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,59.0,2.36,1770.0,59.0,kWh,1
2025-08-15,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,153.0,6.12,4590.0,153.0,kWh,1
2025-08-16,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,113.2,4.53,3396.0,113.2,kWh,1
2025-08-17,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,133.6,5.34,4008.0,133.6,kWh,1
2025-08-18,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,136.9,5.48,4107.0,136.9,kWh,1
2025-08-19,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,134.0,5.36,4020.0,134.0,kWh,1
2025-08-20,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,131.9,5.28,3957.0,131.9,kWh,1
2025-08-21,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,138.3,5.53,4149.0,138.3,kWh,1
2025-08-22,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,140.0,5.6,4200.0,140.0,kWh,1
2025-08-23,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,138.3,5.53,4149.0,138.3,kWh,1
2025-08-24,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,137.5,5.5,4125.0,137.5,kWh,1
2025-08-25,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,133.8,5.35,4014.0,133.8,kWh,1
2025-08-26,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,133.0,5.32,3990.0,133.0,kWh,1
2025-08-27,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,134.0,5.36,4020.0,134.0,kWh,1
2025-08-28,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,32.9,1.32,987.0,32.9,kWh,1
2025-08-29,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,89.5,3.58,2685.0,89.5,kWh,1
2025-08-30,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,118.2,4.73,3546.0,118.2,kWh,1
2025-08-31,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,120.7,4.83,3621.0,120.7,kWh,1
2025-09-01,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,106.7,4.27,3201.0,106.7,kWh,1
2025-09-02,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,112.6,4.5,3378.0,112.6,kWh,1
2025-09-03,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,97.0,3.88,2910.0,97.0,kWh,1
2025-09-04,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,38.6,1.54,1158.0,38.6,kWh,1
2025-09-05,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,132.9,5.32,3987.0,132.9,kWh,1
2025-09-06,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,120.4,4.82,3612.0,120.4,kWh,1
2025-09-07,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,83.4,3.34,2502.0,83.4,kWh,1
2025-09-08,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,82.3,3.29,2469.0,82.3,kWh,1
2025-09-09,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,107.5,4.3,3225.0,107.5,kWh,1
2025-09-10,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,58.7,2.35,1761.0,58.7,kWh,1
2025-09-11,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,117.4,4.7,3522.0,117.4,kWh,1
2025-09-12,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,111.0,4.44,3330.0,111.0,kWh,1
2025-09-13,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,111.6,4.46,3348.0,111.6,kWh,1
2025-09-14,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,106.5,4.26,3195.0,106.5,kWh,1
2025-09-15,1298491919450211056,Hutterville Sheep Barn,1308675217949517029,181141024C070008,1141,25.0,26.6,1.06,798.0,26.6,kWh,1
