date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-08-22,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,5.7,0.23,1.71,5.7,kWh,1
2025-08-23,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,191.0,7.64,57.3,191.0,kWh,1
2025-08-24,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,192.1,7.68,57.63,192.1,kWh,1
2025-08-25,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,183.5,7.34,55.05,183.5,kWh,1
2025-08-26,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,181.0,7.24,54.3,181.0,kWh,1
2025-08-27,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,182.1,7.28,54.63,182.1,kWh,1
2025-08-28,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,134.5,5.38,40.35,134.5,kWh,1
2025-08-29,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,181.1,7.24,54.33,181.1,kWh,1
2025-08-30,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,176.9,7.08,53.07,176.9,kWh,1
2025-09-04,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,181.6,7.26,54.48,181.6,kWh,1
2025-09-05,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,184.4,7.38,55.32,184.4,kWh,1
2025-09-06,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,170.7,6.83,51.21,170.7,kWh,1
2025-09-07,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,123.0,4.92,36.9,123.0,kWh,1
2025-09-08,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,90.7,3.63,27.21,90.7,kWh,1
2025-09-09,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,148.9,5.96,44.67,148.9,kWh,1
2025-09-10,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,41.4,1.66,12.42,41.4,kWh,1
2025-09-11,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,160.1,6.4,48.03,160.1,kWh,1
2025-09-12,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,155.4,6.22,46.62,155.4,kWh,1
2025-09-13,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,161.4,6.46,48.42,161.4,kWh,1
2025-09-14,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,148.4,5.94,44.52,148.4,kWh,1
2025-09-15,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,127.0,5.08,38.1,127.0,kWh,1
2025-09-16,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,165.6,6.62,49.68,165.6,kWh,1
2025-09-17,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,170.1,6.8,51.03,170.1,kWh,1
2025-09-18,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,160.8,6.43,48.24,160.8,kWh,1
2025-09-24,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,164.0,6.56,49.2,164.0,kWh,1
2025-09-25,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,153.1,6.12,45.93,153.1,kWh,1
2025-09-26,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,159.8,6.39,47.94,159.8,kWh,1
2025-09-27,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,44.0,1.76,13.2,44.0,kWh,1
2025-09-28,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,147.0,5.88,44.1,147.0,kWh,1
2025-09-29,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,119.1,4.76,35.73,119.1,kWh,1
2025-09-30,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,76.5,3.06,22.95,76.5,kWh,1
2025-10-01,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,142.6,5.7,42.78,142.6,kWh,1
2025-10-02,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,117.2,4.69,35.16,117.2,kWh,1
2025-10-03,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,125.0,5.0,37.5,125.0,kWh,1
2025-10-04,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,44.9,1.8,13.47,44.9,kWh,1
2025-10-05,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,164.5,6.58,49.35,164.5,kWh,1
2025-10-06,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,116.5,4.66,34.95,116.5,kWh,1
