date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-02-05,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,0.0,0.0,0.0,0.0,kWh,1
2025-02-05,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,0.1,0.02,0.01,0.1,kWh,1
2025-02-14,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,2.0,0.33,0.198,2.0,kWh,1
2025-02-14,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,4.1,0.68,0.406,4.1,kWh,1
2025-02-15,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,18.5,3.08,1.832,18.5,kWh,1
2025-02-15,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,31.1,5.18,3.079,31.1,kWh,1
2025-02-16,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,7.8,1.3,0.772,7.8,kWh,1
2025-02-16,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,14.6,2.43,1.445,14.6,kWh,1
2025-02-17,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,17.7,2.95,1.752,17.7,kWh,1
2025-02-17,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,29.2,4.87,2.891,29.2,kWh,1
2025-02-18,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,15.9,2.65,1.574,15.9,kWh,1
2025-02-18,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,28.7,4.78,2.841,28.7,kWh,1
2025-02-19,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,20.7,3.45,2.049,20.7,kWh,1
2025-02-19,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,34.4,5.73,3.406,34.4,kWh,1
2025-02-20,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,20.3,3.38,2.01,20.3,kWh,1
2025-02-20,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,38.0,6.33,3.762,38.0,kWh,1
2025-02-21,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,6.4,1.07,0.634,6.4,kWh,1
2025-02-21,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,13.5,2.25,1.337,13.5,kWh,1
2025-02-22,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,17.4,2.9,1.723,17.4,kWh,1
2025-02-22,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,34.6,5.77,3.425,34.6,kWh,1
2025-02-23,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,17.9,2.98,1.772,17.9,kWh,1
2025-02-23,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,35.4,5.9,3.505,35.4,kWh,1
2025-02-24,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,16.8,2.8,1.663,16.8,kWh,1
2025-02-24,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,33.0,5.5,3.267,33.0,kWh,1
2025-02-25,1298491919449848959,Richard,1308675217948936777,4804040243030101,0404,6.0,18.5,3.08,1.832,18.5,kWh,1
2025-02-25,1298491919449848959,Richard,1308675217948936492,4804040243030117,0404,6.0,36.3,6.05,3.594,36.3,kWh,1
