provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
solis,2025-01-31,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,17.7,0.18,5.31
solis,2025-02-07,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,201.4,2.01,60.42
solis,2025-02-08,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,240.6,2.41,72.18
solis,2025-02-09,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,104.3,1.04,31.29
solis,2025-02-10,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,338.9,3.39,101.67
solis,2025-02-11,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,329.2,3.29,98.76
solis,2025-02-12,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,378.7,3.79,113.61
solis,2025-02-13,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,421.8,4.22,126.54
solis,2025-02-14,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,155.8,1.56,46.74
solis,2025-02-15,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,217.4,2.17,65.22
solis,2025-02-16,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,284.9,2.85,85.47
solis,2025-02-17,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,532.5,5.33,159.75
solis,2025-02-18,1298491919449868709,Wheatcrest 1 NE 34 #7000,1308675217949100147,40130B1246110135,40130B1246110135,130B,100.0,,444.3,4.44,133.29
