date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-01-31,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,5.8,0.06,1.74,5.8,kWh,1
2025-02-18,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,597.5,5.98,179.25,597.5,kWh,1
2025-02-19,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,613.2,6.13,183.96,613.2,kWh,1
2025-02-20,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,434.2,4.34,130.26,434.2,kWh,1
2025-02-21,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,473.6,4.74,142.08,473.6,kWh,1
2025-02-22,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,552.2,5.52,165.66,552.2,kWh,1
2025-02-23,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,633.7,6.34,190.11,633.7,kWh,1
2025-02-24,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,645.9,6.46,193.77,645.9,kWh,1
2025-02-25,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,666.0,6.66,199.8,666.0,kWh,1
2025-02-26,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,685.3,6.85,205.59,685.3,kWh,1
2025-02-27,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,496.2,4.96,148.86,496.2,kWh,1
2025-02-28,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,680.7,6.81,204.21,680.7,kWh,1
2025-03-01,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,712.7,7.13,213.81,712.7,kWh,1
2025-03-02,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,722.8,7.23,216.84,722.8,kWh,1
2025-03-03,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,163.2,1.63,48.96,163.2,kWh,1
2025-03-04,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,720.8,7.21,216.24,720.8,kWh,1
2025-03-05,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,436.4,4.36,130.92,436.4,kWh,1
2025-03-06,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,728.2,7.28,218.46,728.2,kWh,1
2025-03-07,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,153.6,3.84,46.08,153.6,kWh,1
2025-03-07,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,737.4,7.37,221.22,737.4,kWh,1
2025-03-08,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,106.0,2.65,31.8,106.0,kWh,1
2025-03-08,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,315.4,3.15,94.62,315.4,kWh,1
2025-03-09,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,95.0,2.38,28.5,95.0,kWh,1
2025-03-09,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,285.0,2.85,85.5,285.0,kWh,1
2025-03-10,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,152.0,3.8,45.6,152.0,kWh,1
2025-03-10,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,444.4,4.44,133.32,444.4,kWh,1
2025-03-11,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,185.0,4.63,55.5,185.0,kWh,1
2025-03-11,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,525.4,5.25,157.62,525.4,kWh,1
2025-03-12,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,183.0,4.58,54.9,183.0,kWh,1
2025-03-12,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,538.2,5.38,161.46,538.2,kWh,1
2025-03-13,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949416306,1811450248060009,1145,40.0,110.0,2.75,33.0,110.0,kWh,1
2025-03-13,1298491919449868730,Wheatcrest 2 NE 34 #6008,1308675217949100149,40130B1246110134,130B,100.0,319.9,3.2,95.97,319.9,kWh,1
