provider,date,site_id,site_name,inverter_id,inverter_name,inverter_serial,inverter_model,inverter_rated_kw,inverter_rating_source,daily_energy_kwh,sun_hours,revenue_amount
solis,2025-03-20,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,146.9,1.47,44.07
solis,2025-03-21,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,739.8,7.4,221.94
solis,2025-03-22,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,540.0,5.4,162.0
solis,2025-03-23,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,536.5,5.37,160.95
solis,2025-03-24,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,517.3,5.17,155.19
solis,2025-03-25,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,488.2,4.88,146.46
solis,2025-03-26,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,575.5,5.76,172.65
solis,2025-03-27,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,254.3,2.54,76.29
solis,2025-03-28,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,251.4,2.51,75.42
solis,2025-03-29,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,148.3,1.48,44.49
solis,2025-03-30,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,331.2,3.31,99.36
solis,2025-03-31,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,307.2,3.07,92.16
solis,2025-04-01,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,629.0,6.29,188.7
solis,2025-04-02,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,234.9,2.35,70.47
solis,2025-04-03,1298491919449904822,Wheatcrest 3 NW 27 15 18,1308675217948344318,48130B1238180075,48130B1238180075,130B,100.0,,722.4,7.22,216.72
